"Location";"Source"
"90431749-0-18";"Ugron gro-Thumog"
"90431749-0-19";"Ugron gro-Thumog"
"90431749-0-20";"Ugron gro-Thumog"
"90431749-0-21";"Ugron gro-Thumog"
"90431749-0-22";"Ugron gro-Thumog"
"90431749-0-23";"Ugron gro-Thumog"
"90431749-0-24";"Ugron gro-Thumog"
"90431749-0-25";"Ugron gro-Thumog"
"90431749-0-26";"Ugron gro-Thumog"
"90431749-0-27";"Ugron gro-Thumog"
"90431749-0-28";"Ugron gro-Thumog"
"90431749-0-29";"Ugron gro-Thumog"
"90431749-0-30";"Ugron gro-Thumog"
"90431749-0-31";"Ugron gro-Thumog"
"90431749-0-32";"Reginus Buca"
"90431749-0-33";"Reginus Buca"
"90431749-0-34";"Reginus Buca"
"90431749-0-35";"Reginus Buca"
"90431749-0-36";"Reginus Buca"
"90431749-0-37";"Reginus Buca"
"90431749-0-38";"Reginus Buca"
"90431749-0-39";"Reginus Buca"
"90431749-0-40";"Reginus Buca"
"90431749-0-41";"Reginus Buca"
"90431749-0-42";"Reginus Buca"
"90431749-0-43";"Reginus Buca"
"90431749-0-44";"Reginus Buca"
"90431749-0-45";"Reginus Buca"
"90431749-0-46";"Amalien"
"90431749-0-47";"Amalien"
"90431749-0-48";"Amalien"
"90431749-0-49";"Amalien"
"90431749-0-50";"Amalien"
"90431749-0-51";"Amalien"
"90431749-0-52";"Amalien"
"90431749-0-53";"Amalien"
"90431749-0-54";"Amalien"
"90431749-0-55";"Amalien"
"90431749-0-56";"Amalien"
"90431749-0-57";"Amalien"
"90431749-0-58";"Amalien"
"90431749-0-59";"Amalien"
"90431749-0-60";"Gabrielle Benele"
"90431749-0-61";"Amalien"
"90431749-0-62";"Gabrielle Benele"
"90431749-0-63";"Amalien"
"90431749-0-64";"Gabrielle Benele"
"90431749-0-65";"Amalien"
"90431749-0-66";"Gabrielle Benele"
"90431749-0-67";"Amalien"
"90431749-0-68";"Gabrielle Benele"
"90431749-0-69";"Amalien"
"90431749-0-70";"Gabrielle Benele"
"90431749-0-71";"Amalien"
"90431749-0-72";"Gabrielle Benele"
"90431749-0-73";"Amalien"
"90431749-0-74";"Gabrielle Benele"
"90431749-0-75";"Amalien"
"90431749-0-76";"Gabrielle Benele"
"90431749-0-77";"Reginus Buca"
"90431749-0-78";"Ugron gro-Thumog"
"90431749-0-79";"Reginus Buca"
"90431749-0-80";"Verita Numida"
"90431749-0-81";"Reginus Buca"
"90431749-0-82";"Amalien"
"90431749-0-83";"Reginus Buca"
"90431749-0-84";"Amalien"
"90431749-0-85";"Ugron gro-Thumog"
"90431749-0-86";"Gabrielle Benele"
"90431749-0-87";"Amalien"
"90431749-0-88";"Verita Numida"
"90431749-0-89";"Gabrielle Benele"
"90431749-0-90";"Gabrielle Benele"
"90431749-0-91";"Ugron gro-Thumog"
"90431749-0-93";"Reginus Buca"
"90431749-0-94";"Reginus Buca"
"90431749-0-95";"Amalien"
"90431749-0-96";"Verita Numida"
"90431749-0-97";"Gabrielle Benele"
"90431749-0-98";"Reginus Buca"
"90431749-0-99";"Reginus Buca"
"90431749-0-100";"Reginus Buca"
