"Location";"Source"
"152988005-0-1";"Afghanistan"
"152988005-1-1";"Aland Islands"
"152988005-2-1";"Albania"
"152988005-3-1";"Algeria"
"152988005-4-1";"American Samoa"
"152988005-5-1";"Andorra"
"152988005-6-1";"Angola"
"152988005-7-1";"Anguilla"
"152988005-8-1";"Antigua and Barbuda"
"152988005-9-1";"Argentina"
"152988005-10-1";"Armenia"
"152988005-11-1";"Aruba"
"152988005-12-1";"Australia"
"152988005-13-1";"Austria"
"152988005-14-1";"Azerbaijan"
"152988005-15-1";"Bahamas"
"152988005-16-1";"Bahrain"
"152988005-17-1";"Bangladesh"
"152988005-18-1";"Barbados"
"152988005-19-1";"Belarus"
"152988005-20-1";"Belgium"
"152988005-21-1";"Belize"
"152988005-22-1";"Benin"
"152988005-23-1";"Bermuda"
"152988005-24-1";"Bhutan"
"152988005-25-1";"Bolivia"
"152988005-26-1";"Bonaire"
"152988005-27-1";"Bosnia and Herzegovina"
"152988005-28-1";"Botswana"
"152988005-29-1";"Brazil"
"152988005-30-1";"British Indian Ocean Territory"
"152988005-31-1";"British Virgin Islands"
"152988005-32-1";"Brunei"
"152988005-33-1";"Bulgaria"
"152988005-34-1";"Burkina Faso"
"152988005-35-1";"Burundi"
"152988005-36-1";"Cambodia"
"152988005-37-1";"Cameroon"
"152988005-38-1";"Canada"
"152988005-39-1";"Cape Verde"
"152988005-40-1";"Cayman Islands"
"152988005-41-1";"Central African Republic"
"152988005-42-1";"Chad"
"152988005-43-1";"Chile"
"152988005-44-1";"China"
"152988005-45-1";"Christmas Island"
"152988005-46-1";"Cocos Islands"
"152988005-47-1";"Colombia"
"152988005-48-1";"Comoros"
"152988005-49-1";"Cook Islands"
"152988005-50-1";"Costa Rica"
"152988005-51-1";"Cote d'Ivoire"
"152988005-52-1";"Croatia"
"152988005-53-1";"Curacao"
"152988005-54-1";"Cyprus"
"152988005-55-1";"Czech Republic"
"152988005-56-1";"Democratic Republic of the Congo"
"152988005-57-1";"Denmark"
"152988005-58-1";"Djibouti"
"152988005-59-1";"Dominica"
"152988005-60-1";"Dominican Republic"
"152988005-61-1";"East Timor"
"152988005-62-1";"Ecuador"
"152988005-63-1";"Egypt"
"152988005-64-1";"El Salvador"
"152988005-65-1";"Equatorial Guinea"
"152988005-66-1";"Eritrea"
"152988005-67-1";"Estonia"
"152988005-68-1";"Ethiopia"
"152988005-69-1";"Falkland Islands"
"152988005-70-1";"Faroe Islands"
"152988005-71-1";"Fiji"
"152988005-72-1";"Finland"
"152988005-73-1";"France"
"152988005-74-1";"French Polynesia"
"152988005-75-1";"French Southern and Antarctic Lands"
"152988005-76-1";"Gabon"
"152988005-77-1";"Georgia"
"152988005-78-1";"Germany"
"152988005-79-1";"Ghana"
"152988005-80-1";"Gibraltar"
"152988005-81-1";"Greece"
"152988005-82-1";"Greenland"
"152988005-83-1";"Grenada"
"152988005-84-1";"Guadaloupe"
"152988005-85-1";"Guam"
"152988005-86-1";"Guatemala"
"152988005-87-1";"Guernsey"
"152988005-88-1";"Guinea"
"152988005-89-1";"Guinea-Bissau"
"152988005-90-1";"Guyana"
"152988005-91-1";"Haiti"
"152988005-92-1";"Heard Island"
"152988005-93-1";"Honduras"
"152988005-94-1";"Hong Kong"
"152988005-95-1";"Hungary"
"152988005-96-1";"Iceland"
"152988005-97-1";"India"
"152988005-98-1";"Indonesia"
"152988005-99-1";"Iraq"
"152988005-100-1";"Ireland"
