"Location";"Source"
"172030117-0-11";"Defeat Akash gra-Mal"
"172030117-0-12";"Level 10 Hero"
"172030117-0-13";"Level 20 Hero"
"172030117-0-14";"Level 30 Hero"
"172030117-0-15";"Level 40 Hero"
"172030117-0-16";"Level 50 Hero"
"172030117-0-17";"Superior Ransacker"
"172030117-0-18";"Epic Acquirer"
"172030117-0-19";"Treasure Chest Spotter"
"172030117-0-20";"Treasure Chest Seeker"
"172030117-0-21";"Treasure Chest Stalker"
"172030117-0-22";"Treasure Chest Hunter"
"172030117-0-28";"Faolchu's Bane"
"172030117-0-30";"Wyrd Friend"
"172030117-0-31";"Savior of Glenumbra"
"172030117-0-34";"Glenumbra Adventurer"
"172030117-0-35";"Superior Attire"
"172030117-0-36";"Epic Attire"
"172030117-0-38";"Kill Humanoids"
"172030117-0-39";"Kill Bestial Daedra"
"172030117-0-40";"Kill Dwarven Constructs"
"172030117-0-41";"Kill Beasts"
"172030117-0-42";"Kill Skeletons"
"172030117-0-51";"Humanoid Slayer"
"172030117-0-52";"Quester"
"172030117-0-53";"Explorer"
"172030117-0-54";"Adventurer"
"172030117-0-55";"Master Adventurer"
"172030117-0-56";"Indomitable Adventurer"
"172030117-0-57";"Stormhaven Adventurer"
"172030117-0-58";"Rivenspire Adventurer"
"172030117-0-59";"Alik'r Desert Adventurer"
"172030117-0-60";"Bangkorai Adventurer"
"172030117-0-61";"Glenumbra Adventurer"
"172030117-0-64";"Apprentice Crafting Harvester"
"172030117-0-65";"Journeyman Crafting Harvester"
"172030117-0-66";"Expert Crafting Harvester"
"172030117-0-67";"Master Crafting Harvester"
"172030117-0-68";"Grand Master Crafting Harvester"
"172030117-0-78";"Defeat Foreman Llothan"
"172030117-0-79";"Defeat Investigator Garron"
"172030117-0-80";"Defeat Archmaster Siniel"
"172030117-0-81";"Defeat Valaran Stormcaller"
"172030117-0-88";"Dragonknight Slayer"
"172030117-0-89";"Sorcerer Slayer"
"172030117-0-90";"Templar Slayer"
"172030117-0-91";"Capture a Resource"
"172030117-0-92";"Alliance War Volunteer"
"172030117-0-93";"Alliance War Recruit"
"172030117-0-94";"Alliance War Tyro"
"172030117-0-95";"Alliance War Legionary"
"172030117-0-96";"Alliance War Veteran"
"172030117-0-97";"Alliance War Corporal"
"172030117-0-98";"Alliance War Sergeant"
"172030117-0-99";"Alliance War Lieutenant"
"172030117-0-100";"Alliance War Captain"
"172030117-0-101";"Alliance War Major"
"172030117-0-102";"Alliance War Centurion"
"172030117-0-103";"Alliance War Colonel"
"172030117-0-104";"Alliance War Tribune"
"172030117-0-105";"Alliance War Brigadier"
"172030117-0-106";"Alliance War Prefect"
"172030117-0-107";"Alliance War Praetorian"
"172030117-0-108";"Alliance War Palatine"
"172030117-0-109";"Alliance War August Palatine"
"172030117-0-110";"Alliance War Legate"
"172030117-0-111";"Alliance War General"
"172030117-0-112";"Alliance War Warlord"
"172030117-0-113";"Alliance War Grand Warlord"
"172030117-0-114";"Alliance War Overlord"
"172030117-0-115";"First Revenge"
"172030117-0-116";"Sweet Vengeance"
"172030117-0-117";"First Avenge"
"172030117-0-118";"Vindication"
"172030117-0-119";"Close Call Kill"
"172030117-0-120";"Five Under Five"
"172030117-0-121";"Ten Under Five"
"172030117-0-122";"Keep, Outpost or District Capture"
"172030117-0-134";"Kill a Grand Overlord"
"172030117-0-135";"Damage Dealer"
"172030117-0-136";"Massive Damage Dealer"
"172030117-0-137";"Tremendous Damage Dealer"
"172030117-0-138";"Healer"
"172030117-0-139";"Massive Healer"
"172030117-0-140";"Tremendous Healer"
"172030117-0-141";"Breton Slayer"
"172030117-0-145";"Evermore Defender"
"172030117-0-146";"Bangkorai Garrison Liberator"
"172030117-0-147";"High King Emeric's Savior"
"172030117-0-148";"Woodblight Killer"
"172030117-0-149";"Dayarrus' Deathbringer"
"172030117-0-150";"Nomeg Hyril Executioner"
"172030117-0-151";"Lich Butcher"
