"Location";"Source"
"11547061-0-2";"Suite"
"11547061-0-3";"Parlor"
"11547061-0-4";"Library"
"11547061-0-5";"Dining"
"11547061-0-6";"Courtyard"
"11547061-0-7";"Undercroft"
"11547061-0-8";"Hearth"
"11547061-0-9";"Gallery"
"11547061-0-10";"Workshop"
"11547061-0-11";"Lighting"
"11547061-0-12";"Conservatory"
"11547061-0-13";"Structures"
"11547061-0-14";"Miscellaneous"
"11547061-0-16";"Mounts"
"11547061-0-24";"Equines"
"11547061-0-25";"Services"
"11547061-0-30";"Felines"
"11547061-0-31";"Banking Assistants"
"11547061-0-32";"Merchant Assistants"
"11547061-0-33";"Non-Combat Pets"
"11547061-0-38";"Daedric"
"11547061-0-41";"Creepy Crawlies"
"11547061-0-42";"Flying Pets"
"11547061-0-46";"Bedding"
"11547061-0-47";"Dividers"
"11547061-0-48";"Wardrobes"
"11547061-0-49";"Trunks"
"11547061-0-50";"Mirrors"
"11547061-0-51";"Pillows"
"11547061-0-52";"Tapestries"
"11547061-0-53";"Rugs and Carpets"
"11547061-0-54";"Paintings"
"11547061-0-55";"Instruments"
"11547061-0-56";"Knick-Knacks"
"11547061-0-57";"Vases"
"11547061-0-58";"Banners"
"11547061-0-59";"Tea Tables"
"11547061-0-60";"Shelves"
"11547061-0-61";"Desks"
"11547061-0-62";"Literature"
"11547061-0-63";"Supplies"
"11547061-0-64";"Maps"
"11547061-0-66";"Tables"
"11547061-0-67";"Counters"
"11547061-0-69";"Posts and Pillars"
"11547061-0-70";"Statues"
"11547061-0-71";"Vehicles"
"11547061-0-72";"Wells"
"11547061-0-74";"Fountains"
"11547061-0-75";"Remains"
"11547061-0-76";"Grave Goods"
"11547061-0-77";"Torture"
"11547061-0-78";"Urns"
"11547061-0-80";"Pottery"
"11547061-0-81";"Dishes"
"11547061-0-82";"Utensils"
"11547061-0-83";"Cabinetry"
"11547061-0-84";"Stockroom"
"11547061-0-85";"Meals"
"11547061-0-86";"Game"
"11547061-0-87";"Baskets and Bags"
"11547061-0-89";"Mounted Decor"
"11547061-0-90";"Undaunted Busts"
"11547061-0-91";"Display"
"11547061-0-92";"Art"
"11547061-0-93";"Thrones"
"11547061-0-95";"Cargo"
"11547061-0-96";"Tools"
"11547061-0-97";"Materials"
"11547061-0-98";"Training Dummies"
"11547061-0-99";"Yard Ornaments"
"11547061-0-104";"Crafting Stations"
"11547061-0-105";"Incense"
"11547061-0-106";"Symbolic Decor"
"11547061-0-107";"Sacred Pieces"
"11547061-0-108";"Trees"
"11547061-0-109";"Plants"
"11547061-0-110";"Shrubs"
"11547061-0-111";"Flowers"
"11547061-0-112";"Vines"
"11547061-0-113";"Racks"
"11547061-0-114";"Tents"
"11547061-0-115";"Blocks"
"11547061-0-116";"Planks"
"11547061-0-117";"Building Components"
"11547061-0-120";"Lamps"
"11547061-0-121";"Lanterns"
"11547061-0-122";"Lightposts"
"11547061-0-123";"Sconces"
"11547061-0-124";"Braziers"
"11547061-0-125";"Chandeliers"
"11547061-0-126";"Enchanted Lights"
"11547061-0-127";"Fires"
"11547061-0-129";"Candles"
"11547061-0-130";"Aquatic"
"11547061-0-132";"Chairs"
"11547061-0-133";"Sofas and Couches"
"11547061-0-134";"Benches"
"11547061-0-135";"Stools"
"11547061-0-136";"Stones and Pebbles"
"11547061-0-137";"Basins"
"11547061-0-138";"Platforms"
"11547061-0-141";"Saplings"
"11547061-0-142";"Hedges"
"11547061-0-143";"Mushrooms"
"11547061-0-144";"Drinkware"
"11547061-0-145";"Nightstands"
"11547061-0-146";"Dressers"
"11547061-0-148";"Honors and Awards"
"11547061-0-149";"Ferns"
"11547061-0-150";"Giant Trees"
"11547061-0-151";"Cookware"
"11547061-0-152";"Boulders and Large Rocks"
"11547061-0-153";"Laundry"
"11547061-0-154";"Produce"
"11547061-0-155";"Meats and Cheeses"
"11547061-0-156";"Breads and Desserts"
"11547061-0-157";"Undaunted Trophies"
"11547061-0-159";"Pipes and Mechanisms"
"11547061-0-160";"Mundus Stones"
"11547061-0-161";"Crystals"
"11547061-0-162";"Creatures"
"11547061-0-163";"Doorways"
"11547061-0-164";"Walls and Fences"
"11547061-0-165";"Dead Wood"
"11547061-0-167";"Environment"
"11547061-0-168";"General"
"11547061-0-170";"Machinery"
"11547061-0-171";"Ice and Snow"
"11547061-0-172";"Storage"
"11547061-0-176";"Bathing Goods"
"11547061-0-177";"Arthropods"
"11547061-0-178";"Bipedals"
"11547061-0-179";"Camelids"
"11547061-0-180";"Exotic"
"11547061-0-181";"Domestic"
"11547061-0-182";"Music Boxes"
"11547061-0-183";"Traps"
"11547061-0-184";"ESO Plus"
"11547061-0-185";"Buildings"
"11547061-0-186";"Lunar Champion Tablets"
"11547061-0-187";"Special"
"11547061-0-188";"Inventory"
"11547061-0-189";"Houseguests"
"11547061-0-190";"Vampire Utility"
"11547061-0-191";"Multi-Rider"
"11547061-0-192";"Canines"
"11547061-0-193";"Cervines"
"11547061-0-194";"Constructs"
"11547061-0-195";"Heavyweights"
"11547061-0-196";"Toys"
"11547061-0-197";"Ursines"
"11547061-0-198";"Recovery"
"11547061-0-199";"Soul Gems"
"11547061-0-200";"Armory Assistants"
"11547061-0-201";"Deconstruction Assistants"
"11547061-0-202";"Serpentes"
"11547061-0-203";"Time of Day Control"
"11547061-0-204";"Elephants"
"11547061-0-207";"Weather Control"
