"Location";"Source"
"168415844-0-62";"Jes was grateful to have his missing weapons back, and my efforts have made the roads to and from Camlorn safer. He said the Red Rook bandits were led by a lunatic who is not to be trusted."
"168415844-0-72";"The Countess' advisor will not allow me to enter the manor and speak with her.  I will have to convince Chamberlain Gargast of the urgency of this matter."
"168415844-0-84";"Oron seems to know more than he is telling.\n\nI returned to Camlorn and spoke with Oron.  He seems to know more than he is revealing.  He fears ""what we are going to uncover by finding the murderer will endanger us all."""
"168415844-0-86";"King Vincintian informed me that the Shrouded Throne must not break through the defenses at Eagles Watch.  I have travelled here to help in its defense."
"168415844-0-87";"Oron suspects there are agents of the Shrouded Throne in Crosswych.  I must work with Warden Godwin to find them."
"168415844-0-107";"Baron Winoc was nonplussed to find Camlorn's people fairly divided between the Magis Order and Hands of Northmoor, and believes he must do more to promote the organization. He thanked me for my work in gathering data about public opinion."
"168415844-0-113";"The order has been delivered to Blacksmith Oges in Camlorn, and the Hands of Northmoor will help escort the smith's supplies to the camp when they're ready."
"168415844-0-123";"I've found Oron and I am ready to render what aid I can in the investigation of the murder."
"168415844-0-155";"Oron suspects there are agents of the Shrouded Throne in Crosswych.  I must work with Warden Godwin to find them."
"168415844-0-159";"Once we reached Aldcroft, Aurore Bagot thanked me for my work in helping her reunite her family. With Aurore's strong sword arm to protect them, I believe their family will be fine once Tristan recovers enough to walk again."
"168415844-0-184";"I have found evidence of the werewolves where abouts and reported my findings to Dr. Holcombe."
"168415844-0-196";"Inquisitor Roche has prepared a ritual which will summon the courier's spirit.  This will be the only way for me to discover where the murder weapon was hidden."
"168415844-0-247";"I have hunted down and slain the beast known as Gargast. His very presence implies greater forces at work behind the scenes. I should travel to Crosswych and see if I can uncover any further secretive workings."
"168415844-0-253";"I spoke with Inquistor Roche at Brennoc's behest."
"168415844-0-275";"High Priest Canning believes we can summon Ranser's soul using the Chalice of Gwedrun and Soulstone of Brall. He is now preparing himself for the ritual, and advised me to prepare myself as well. I must speak to him again when I am ready."
"168415844-0-284";"High Priest Canning has survived the mysterious assassin's attack, but the ritual's failure unleashed evil spirits upon Camlorn. High Priest Canning is too weak to face the fiends himself - I must stop them."
"168415844-0-295";"I brought four Dark Acolytes to the central altar in Glaes Maar, where they were overcome by spirits.  In gratitude for my actions, Claude combined the souls within Crystalwan with the Maarsword, giving me an item of great power."
"168415844-0-305";"Captain Blanche Geves, unable to leave the Redoubt camp to locate her missing squad members, sent me to locate them. The four squad members I found are now safely back at the Redoubt."
"168415844-0-306";"Inquisitor Blarae praised my efforts with rallying his defenders - he believes the Redoubt will now hold against the undead. With Camlorn saved, I must now go to Thrandor's Portal and stop Morholdt from sending Ranser's body to Oblivion."
"168415844-0-318";"Thetis is confident the lake will be pure in a matter of days, and does not need further help."
"168415844-0-345";"I have destroyed one of the vampires in Silvermist Castle. The Mistress of the Castle still survives, but it will be up to me to put together a force capable of combating her. Even the Ashen Order thinks that this may be a lost cause."
"168415844-0-543";"You have recovered the pages of Vestrial's research book."
"168415844-0-544";"You have vanquished all evil from Blacheart Crypt"
"168415844-0-556";"I have met with Queen Ayrenn after gaining my Alinor medallion. She wishes the Numinous to aid the High Elves against the Maormer."
"168415844-0-557";"I've found the midget!  I should return to Quest Giver NPC."
"168415844-0-569";"I decided to give the Tome to the mage, who started giggling uncontrollably after reciving it.  He gave me a handsome reward and then abruptly dissapeared."
"168415844-0-570";"After turning down the mage's offer and fending off his attacks, I returned to Discheveled NPC and gave him the tome. He was relieved to finally have it and promised to use it to save the Tamriel."
"168415844-0-575";"You have killed all the bosses in the Halls of the Damned.\nX Nazgol the Undying\nX General Ripfang\nX Bone Colossus\nX Orutu\nX Anarose Direblood\nX Therion Direblood"
"168415844-0-576";"You have found Commander Lafavre's soldiers. Sadly, none of them survived."
"168415844-0-577";"You have returned the Nightmare Dust to High Mage Dilborn."
"168415844-0-632";"I've made my decision about Sir Hughes. He will be exiled."
"168415844-0-676";"I met <<1>> at his estate in southern Menevia."
"168415844-0-818";"I rescued Countess Ilise Manteau from her mirror. Now I should speak to her about his this happened."
"168415844-0-934";"I visited all the High Kinlords and Kinladies of Summerset, seeking their support for Queen Ayrenn's invasion of Tamriel.\n\nHaving achieved success in every area, I carried a chest containing token of loyalty back to Ayrenn in Alinor."
"168415844-0-935";"I visited all the High Kinlords and Kinladies of Summerset, seeking their support for Queen Ayrenn's invasion of Tamriel.\n\nHaving achieved success in every area, I carried a chest containing token of loyalty back to Ayrenn in Alinor."
"168415844-0-936";"I visited all the High Kinlords and Kinladies of Summerset, seeking their support for Queen Ayrenn's invasion of Tamriel.\n\nHaving achieved success in every area, I carried a chest containing token of loyalty back to Ayrenn in Alinor."
"168415844-0-961";"I've relit the signal fire in the lighthouse. Ship captains can now safely navigate the harbor."
"168415844-0-963";"I traveled to Fort Arand for the Davon's Watch Quarantine Master, to discover that the Oathmen and Lawmen there had succumbed to the Blight.  I was not infected, and have proved my immunity."
"168415844-0-969";"Several more Knights of the Flame have rallied to the cause and joined Sir Edmund to help re-take Firebrand Keep."
"168415844-0-970";"Sir Croix is dead and the Knights of the Flame are again united with Sir Edmund in command."
"168415844-0-1264";"Harim and whoever he works for have Duke Sebastien, ruler of Camlorn, hostage. The package Chamberlain Weller hired me to deliver was a ransom. \n\nWeller now believes the Red Rooks do not negotiate in good faith, and has another plan."
"168415844-0-1380";"I collected Mountain Tail for Sister Alarvyne.  The Sisters of Mara tend to the blighted, and she says the herb will make a soothing tea."
"168415844-0-1418";"Commander Bennet was pleased to hear the spy had been stopped and offered me a reward for my hard work."
"168415844-0-1599";"Thorkan was worried that rumors of necromancy in Fell's Run would cause bloodshed between Orcs and Bretons. To keep the peace, I've destroyed a few necromantic altars on the Ruined Steppe."
"168415844-0-1712";"I returned with flowers, wine, and mudcrab meat for Michel. He was grateful for the food. Now he can give his wife the perfect burial."
"168415844-0-1818";"A Bosmer named Alreal outside of Elden Root had me collect some Wayward Branches fallen from the trees."
