"Location";"Source"
"99155012-0-67";"<Back.>"
"99155012-0-89";"I would like to ask about something else."
"99155012-0-90";"I would like to ask about something else."
"99155012-0-91";"I would like to ask about something else."
"99155012-0-92";"I would like to ask about something else."
"99155012-0-93";"I would like to ask about something else."
"99155012-0-94";"I would like to ask about something else."
"99155012-0-100";"I would like to ask about something else."
"99155012-0-101";"I have more questions, my Lord."
"99155012-0-106";"One other thing..."
"99155012-0-112";"One other thing..."
"99155012-0-117";"Thanks. Another thing..."
"99155012-0-119";"Before I go, Father, another thing..."
"99155012-0-121";"One other question."
"99155012-0-130";"Palo slips up"
"99155012-0-134";"I have another question, before I leave the soldiers to find you."
"99155012-0-135";"I have another question, before I leave the soldiers to find you."
"99155012-0-136";"Thank you for the information."
"99155012-0-138";"I'd like to talk about something else."
"99155012-0-139";"I'd like to ask you about something else."
"99155012-0-140";"I'd like to ask you about something else"
"99155012-0-141";"I'd like to ask you about something else."
"99155012-0-142";"I'd like to ask you about something else."
"99155012-0-143";"Thanks. What else can you tell me?"
"99155012-0-144";"I have a few more questions."
"99155012-0-145";"Sorry about the ""lord"" thing. I'd like to ask you about something else."
"99155012-0-146";"Thank you. I'd like to ask you something else."
"99155012-0-152";"One other question."
"99155012-0-153";"Another thing, if you have a moment."
"99155012-0-181";"Back"
"99155012-0-184";"Back"
"99155012-0-186";"Back"
"99155012-0-187";"Back"
"99155012-0-190";"Back"
"99155012-0-193";"I'd like to ask you about something else, Curate."
"99155012-0-199";"One other question."
"99155012-0-201";"Let's start over."
"99155012-0-202";"Let's start over."
"99155012-0-204";"Let's start over."
"99155012-0-205";"Let's start over."
"99155012-0-207";"Let's start over."
"99155012-0-208";"Let's start over."
"99155012-0-218";"I have another question, before I leave the soldiers to find you."
"99155012-0-253";"Back."
"99155012-0-254";"There is still much I need to know."
"99155012-0-256";"There is still much I need to know."
"99155012-0-257";"Back"
"99155012-0-280";"How can I help?"
"99155012-0-283";"Run that story by me again, Jaeson."
"99155012-0-284";"Run the story by me again, Jaeson."
"99155012-0-285";"Run that story by me again, Jaeson."
"99155012-0-286";"Run that story by me again, Jaeson."
"99155012-0-292";"What was it you said earlier?"
"99155012-0-293";"What was it you said earlier?"
"99155012-0-300";"Could you explain all that again, my Lord?"
"99155012-0-311";"What's the trouble here again?"
"99155012-0-327";"Let's start over..."
"99155012-0-329";"Let's start over..."
"99155012-0-345";"Cancel"
"99155012-0-352";"I have another question."
"99155012-0-353";"One other question."
"99155012-0-355";"One other question."
"99155012-0-358";"One other question."
"99155012-0-367";"Cancel"
"99155012-0-368";"Cancel"
"99155012-0-370";"Cancel"
"99155012-0-378";"What were we talking about?"
"99155012-0-383";"Wait, start over, if you could?"
"99155012-0-386";"Another thing, Lieutenant..."
"99155012-0-387";"Wait, start over, if you could?"
"99155012-0-394";"Wait, what did you ask?"
"99155012-0-403";"Let me start over, here."
"99155012-0-405";"Let me start over..."
"99155012-0-406";"Let me start over, here."
"99155012-0-415";"Caska pops"
"99155012-0-420";"Very well."
"99155012-0-421";"One last thing..."
"99155012-0-422";"One other thing..."
"99155012-0-424";"DO NOT CLICK"
"99155012-0-431";"Wait, let's start over."
"99155012-0-432";"<It's too late to go back, now.>"
"99155012-0-434";"Wait, say that again?"
"99155012-0-435";"Wait, say that again?"
"99155012-0-443";"One other question"
"99155012-0-444";"One other question."
"99155012-0-445";"One other question"
"99155012-0-454";"Then I shall depart for Westtry."
"99155012-0-455";"I have another question."
"99155012-0-456";"I have another question, my Lord."
"99155012-0-457";"One other question, my Lord."
"99155012-0-458";"One other thing."
"99155012-0-459";"Another thing..."
"99155012-0-474";"Wait, calm down. Start over?"
"99155012-0-475";"Let's go back to the start."
"99155012-0-492";"Wait, I missed what you just said."
"99155012-0-493";"I had something else I wanted to ask you, Sergeant."
"99155012-0-494";"Wait, I missed what you just said."
"99155012-0-510";"Pardon, Curate?"
"99155012-0-515";"What did you say, Curate?"
"99155012-0-523";"I'd like to ask you about something else, Curate."
"99155012-0-555";"Say that again, Mage Guard?"
"99155012-0-556";"Please, say that again, Laeran?"
"99155012-0-606";"I have more questions."
"99155012-0-607";"I have more questions"
"99155012-0-608";"I have more questions."
"99155012-0-609";"I have more questions, my Lord."
"99155012-0-611";"I have more questions, my Lord."
"99155012-0-619";"I would learn more."
"99155012-0-620";"Could you explain all that again, my Lord?"
"99155012-0-621";"Could you explain all that again, my Lord?"
"99155012-0-622";"Could you explain all that again, my Lord?"
"99155012-0-624";"One other question"
"99155012-0-625";"Did your scouts speak with the courier?"
"99155012-0-626";"Another question..."
"99155012-0-628";"One other thing..."
"99155012-0-629";"One other thing..."
