"Location";"Source"
"217086453-0-1";"The Elder Scrolls Online: Morrowind"
"217086453-0-2";"|c00cc00SALE:|r Crown Packs"
"217086453-0-3";"|c00cc00SALE:|r Select Crown Store Products"
"217086453-0-4";"|c00cc00SALE:|r Fredas the 13th"
"217086453-0-5";"|c00ffffNEW:|r Housing Furniture"
"217086453-0-6";"|cffd700EVENT:|r Imperial City Celebration"
"217086453-0-7";"|cffd700EVENT:|r Orsinium Celebration"
"217086453-0-8";"|cffd700EVENT:|r Thieves Guild Celebration"
"217086453-0-9";"|c00ffffNEW:|r Houses Available"
"217086453-0-10";"|c00ffffNEW:|r Exclusive Holiday Dyes"
"217086453-0-11";"|cffd700EVENT:|r Witches Festival"
"217086453-0-12";"|cffd700Battleground Mode:|r Crazy King"
"217086453-0-13";"Earn Bonus Rewards Until 12/5"
"217086453-0-15";"Save Now on The Elder Scrolls Online: Morrowind!"
"217086453-0-16";"Through a Veil Darkly"
"217086453-0-17";"EVENT: Thieves Guild/Dark Brotherhood Celebration"
"217086453-0-18";"|cffd700Battleground:|r New Maps"
"217086453-0-19";"|c00ffffArms Pack:|r Ilambris"
"217086453-0-20";"|c00ffffArms Pack:|r Shadowrend"
"217086453-0-21";"|c00ffffArms Pack:|r Molag Kena"
"217086453-0-22";"|c00ffffNew Motif:|r Psijic Style"
"217086453-0-23";"|c00ffffNew Motif:|r Scalecaller Style"
"217086453-0-24";"|c00ffffNew Motif:|r Fang Lair Style"
"217086453-0-25";"|c00ffffNew Motif:|r Sapiarch Style"
"217086453-0-26";"|c00ffffNew Rewards:|r Battlegrounds"
"217086453-0-27";"|cffd700Battlegrounds:|r Available for All"
"217086453-0-28";"|cff6600PRE-PURCHASE:|r ESO: Summerset"
"217086453-0-29";"The Elder Scrolls Online: Summerset"
"217086453-0-30";"Save Now on The Elder Scrolls Online: Summerset!"
"217086453-0-31";"|c00ffffNew Rewards:|r Cyrodiil"
"217086453-0-32";"|c00ffffArms Pack:|r Bloodspawn"
"217086453-0-33";"|c00ffffArms Pack:|r Swarm Mother"
"217086453-0-34";"|c00ffffArms Pack:|r Sellistrix"
"217086453-0-36";"|c00ffffESO Plus:|r Free Trial"
"217086453-0-37";"|c00ffffNew Rewards:|r Cyrodiil"
"217086453-0-38";"|cffd700Battleground:|r New Map"
"217086453-0-39";"|c00ffffNew Outfit Offerings:|r Battleground Armor"
"217086453-0-40";"Ruthless Competition"
"217086453-0-41";"|c00ffffArms Pack:|r Iceheart"
