"Location";"Source"
"51109077-0-1";"Імперське Місто"
"51109077-0-2";"Орсиніум"
"51109077-0-3";"Злодійська гільдія"
"51109077-0-4";"Темне Братерство"
"51109077-0-5";"Тіні Гіста"
"51109077-0-6";"Морровінд"
"51109077-0-7";"Horns of the Reach"
"51109077-0-8";"Clockwork City"
"51109077-0-9";"Dragon Bones"
"51109077-0-10";"Саммерсет"
"51109077-0-11";"Wolfhunter"
"51109077-0-12";"Муркмаїр"
"51109077-0-13";"Wrathstone"
"51109077-0-14";"Ельсвейр"
"51109077-0-15";"Scalebreaker"
"51109077-0-16";"Dragonhold"
"51109077-0-17";"Harrowstorm"
"51109077-0-18";"Greymoor"
"51109077-0-19";"Stonethorn"
"51109077-0-20";"Маркарт"
"51109077-0-21";"Flames Of Ambition"
"51109077-0-22";"Чорнолісся"
"51109077-0-23";"Waking Flame"
"51109077-0-24";"Мертві землі"
"51109077-0-25";"Ascending Tide"
"51109077-0-26";"High Isle"
"51109077-0-27";"Lost Depths"
"51109077-0-28";"Firesong"
"51109077-0-29";"Scribes of Fate"
"51109077-0-30";"Некром"
"51109077-0-31";"Infinite Archive"
"51109077-0-32";"Scions of Ithelia"
"51109077-0-33";"Gold Road"
"51109077-0-34";"Fallen Banners"
