"Location";"Source"
"39160885-0-2";"Glenumbra Treasure Map I"
"39160885-0-3";"Glenumbra Treasure Map V"
"39160885-0-4";"Glenumbra Treasure Map II"
"39160885-0-5";"Glenumbra Treasure Map VI"
"39160885-0-6";"Glenumbra Treasure Map III"
"39160885-0-7";"Glenumbra Treasure Map IV"
"39160885-0-8";"Stormhaven Treasure Map I"
"39160885-0-9";"Stormhaven Treasure Map II"
"39160885-0-10";"Stormhaven Treasure Map III"
"39160885-0-11";"Stormhaven Treasure Map IV"
"39160885-0-12";"Stormhaven Treasure Map V"
"39160885-0-13";"Stormhaven Treasure Map VI"
"39160885-0-14";"Rivenspire Treasure Map I"
"39160885-0-15";"Rivenspire Treasure Map II"
"39160885-0-16";"Rivenspire Treasure Map III"
"39160885-0-17";"Rivenspire Treasure Map IV"
"39160885-0-18";"Rivenspire Treasure Map V"
"39160885-0-19";"Rivenspire Treasure Map VI"
"39160885-0-20";"Alik'r Treasure Map I"
"39160885-0-21";"Alik'r Treasure Map II"
"39160885-0-22";"Alik'r Treasure Map III"
"39160885-0-23";"Alik'r Treasure Map IV"
"39160885-0-24";"Alik'r Treasure Map V"
"39160885-0-25";"Alik'r Treasure Map VI"
"39160885-0-26";"Bangkorai Treasure Map I"
"39160885-0-27";"Bangkorai Treasure Map II"
"39160885-0-28";"Bangkorai Treasure Map III"
"39160885-0-29";"Bangkorai Treasure Map IV"
"39160885-0-30";"Bangkorai Treasure Map V"
"39160885-0-31";"Bangkorai Treasure Map VI"
"39160885-0-32";"Auridon Treasure Map I"
"39160885-0-33";"Auridon Treasure Map II"
"39160885-0-34";"Auridon Treasure Map III"
"39160885-0-35";"Auridon Treasure Map IV"
"39160885-0-36";"Auridon Treasure Map V"
"39160885-0-37";"Auridon Treasure Map VI"
"39160885-0-38";"Grahtwood Treasure Map I"
"39160885-0-39";"Grahtwood Treasure Map II"
"39160885-0-40";"Grahtwood Treasure Map III"
"39160885-0-41";"Grahtwood Treasure Map IV"
"39160885-0-42";"Grahtwood Treasure Map V"
"39160885-0-43";"Grahtwood Treasure Map VI"
"39160885-0-44";"Greenshade Treasure Map I"
"39160885-0-45";"Greenshade Treasure Map II"
"39160885-0-46";"Greenshade Treasure Map III"
"39160885-0-47";"Greenshade Treasure Map IV"
"39160885-0-48";"Greenshade Treasure Map V"
"39160885-0-49";"Greenshade Treasure Map VI"
"39160885-0-50";"Malabal Tor Treasure Map I"
"39160885-0-51";"Malabal Tor Treasure Map II"
"39160885-0-52";"Malabal Tor Treasure Map III"
"39160885-0-53";"Malabal Tor Treasure Map IV"
"39160885-0-54";"Malabal Tor Treasure Map V"
"39160885-0-55";"Malabal Tor Treasure Map VI"
