"Location";"Source"
"40552436-0-1";"High atop the shrouded Barrow."
"40552436-0-2";"A Hollow victory beyond the iceflows."
"40552436-0-3";"To dig too deep would be no Folly."
"40552436-0-4";"Hidden near the highest hut."
"40552436-0-5";"In the fort, just around the way."
"40552436-0-6";"About to set sail."
"40552436-0-7";"Watching lions swim to shore."
"40552436-0-8";"Near Bal Foyen's gate."
"40552436-0-9";"Staging an attack on Arand."
"40552436-0-10";"A lady on a cliff, beyond Sulfur Pools."
"40552436-0-11";"Among mushrooms, high above Lukiul Uxith."
"40552436-0-12";"Among pools of fire, above Vivec's Wayshrine."
"40552436-0-13";"South on the Ashen Road, where lava flows."
"40552436-0-14";"Tucked away on a grotto's mantel."
"40552436-0-15";"On a hillside behind a plantation."
"40552436-0-16";"Left to rust beside ancient arms."
"40552436-0-17";"Used to strike flames underground."
"40552436-0-18";"Listening to the Spinner's whispers."
"40552436-0-19";"Where a fiery tide rises."
"40552436-0-20";"Found in soft dirt by daggers."
"40552436-0-21";"Discovering a taste for madness."
"40552436-0-22";"Drowned in the south by a clever bird."
"40552436-0-23";"Free from quarantine."
"40552436-0-24";"A Hlaalu victory in Narsis."
"40552436-0-25";"A river view on Muth Gnaar's outskirts."
"40552436-0-26";"A twin falls in Mournhold."
"40552436-0-27";"Near the remnants of a House caravan."
"40552436-0-28";"Follow the river that snakes south to its source."
"40552436-0-29";"Search near the cavern with three eyes."
"40552436-0-30";"The right tower is Tal'Deic's left."
"40552436-0-31";"Where ships dock and mushrooms Mire."
"40552436-0-32";"Where the dead walk and no memories linger."
"40552436-0-33";"Lend me your ear."
"40552436-0-34";"Where a lady seeks kwama before the storm."
"40552436-0-35";"Asleep in the depths, the Dwemer awakens."
"40552436-0-36";"Mind your step where the water drops in."
"40552436-0-37";"Go from Crags to riches."
"40552436-0-38";"Where corpses till a garden of sand."
"40552436-0-39";"Above the mages' eye between the falls."
"40552436-0-40";"Still shrouded by spray past a western rise."
"40552436-0-41";"Sneak behind the relic-thieves' camp."
"40552436-0-42";"Beside a bowsprit among pirates."
"40552436-0-43";"Ritual flames brew trouble in the mire."
"40552436-0-44";"Where wisps waylay wanderers."
"40552436-0-45";"Like the sound of steam or snakes."
"40552436-0-46";"Overlooking the murk of Xal Ithix."
"40552436-0-47";"Imprisoned in a crumbling tower."
"40552436-0-48";"Peek behind pillars in Atanaz."
"40552436-0-49";"Skittering, slithering, a tusk once whole."
"40552436-0-50";"Unearthed by an outlaw excavation."
"40552436-0-51";"Crown in hand, leave and look right."
"40552436-0-52";"Climb, little kwama, to reach your goal."
"40552436-0-53";"Digesting in the belly of the Black Maw."
"40552436-0-54";"Deep in the den of debauchery."
"40552436-0-55";"Nestled beside Morvunskar's royal tomb."
"40552436-0-56";"Giants despoil the village below."
"40552436-0-57";"Leave the hollow to cure the chill."
