"Location";"Source"
"108643301-0-22";"Aedric Spear"
"108643301-0-24";"Light Armor"
"108643301-0-25";"Medium Armor"
"108643301-0-26";"Heavy Armor"
"108643301-0-27";"Dawn's Wrath"
"108643301-0-28";"Restoring Light"
"108643301-0-29";"One Hand and Shield"
"108643301-0-30";"Two Handed"
"108643301-0-31";"Dual Wield"
"108643301-0-32";"Bow"
"108643301-0-33";"Destruction Staff"
"108643301-0-34";"Restoration Staff"
"108643301-0-35";"Ardent Flame"
"108643301-0-36";"Draconic Power"
"108643301-0-37";"Earthen Heart"
"108643301-0-38";"Assassination"
"108643301-0-39";"Shadow"
"108643301-0-40";"Siphoning"
"108643301-0-41";"Dark Magic"
"108643301-0-42";"Daedric Summoning"
"108643301-0-43";"Storm Calling"
"108643301-0-44";"Mages Guild"
"108643301-0-45";"Fighters Guild"
"108643301-0-48";"Assault"
"108643301-0-50";"Werewolf"
"108643301-0-51";"Vampire"
"108643301-0-52";"Orc Skills"
"108643301-0-55";"Undaunted"
"108643301-0-56";"High Elf Skills"
"108643301-0-57";"Wood Elf Skills"
"108643301-0-58";"Khajiit Skills"
"108643301-0-59";"Imperial Skills"
"108643301-0-60";"Breton Skills"
"108643301-0-62";"Redguard Skills"
"108643301-0-63";"Argonian Skills"
"108643301-0-64";"Dark Elf Skills"
"108643301-0-65";"Nord Skills"
"108643301-0-67";"Support"
"108643301-0-71";"Emperor"
"108643301-0-72";"Soul Magic"
"108643301-0-76";"Provisioning"
"108643301-0-77";"Alchemy"
"108643301-0-78";"Enchanting"
"108643301-0-79";"Blacksmithing"
"108643301-0-80";"Woodworking"
"108643301-0-81";"Clothing"
"108643301-0-97";"The Steed"
"108643301-0-98";"The Lady"
"108643301-0-102";"The Lord"
"108643301-0-103";"The Apprentice"
"108643301-0-104";"The Atronach"
"108643301-0-105";"The Ritual"
"108643301-0-106";"The Tower"
"108643301-0-107";"The Shadow"
"108643301-0-108";"The Lover"
"108643301-0-111";"Legerdemain"
"108643301-0-117";"Thieves Guild"
"108643301-0-118";"Dark Brotherhood"
"108643301-0-127";"Animal Companions"
"108643301-0-128";"Green Balance"
"108643301-0-129";"Winter's Embrace"
"108643301-0-130";"Psijic Order"
"108643301-0-131";"Grave Lord"
"108643301-0-132";"Bone Tyrant"
"108643301-0-133";"Living Death"
"108643301-0-141";"Jewelry Crafting"
"108643301-0-155";"Scrying"
"108643301-0-157";"Excavation"
"108643301-0-174";"Ardent Warrior"
"108643301-0-175";"Draconic Armor"
"108643301-0-176";"Radiating Heart"
"108643301-0-177";"Deadly Assassin"
"108643301-0-178";"Living Shade"
"108643301-0-179";"Soul Thief"
"108643301-0-180";"Two Handed"
"108643301-0-181";"One Hand and Shield"
"108643301-0-182";"Dual Wield"
"108643301-0-183";"Bow"
"108643301-0-184";"Destruction Staff"
"108643301-0-185";"Restoration Staff"
"108643301-0-186";"Light Armor"
"108643301-0-187";"Medium Armor"
"108643301-0-188";"Heavy Armor"
"108643301-0-189";"Fighters Guild"
"108643301-0-190";"Mages Guild"
"108643301-0-191";"Undaunted"
"108643301-0-192";"Imperial Skills"
"108643301-0-193";"Dark Elf Skills"
"108643301-0-196";"Lightning Caller"
"108643301-0-197";"Mischievous Caster"
"108643301-0-198";"Playful Schemer"
"108643301-0-199";"Khajiit Skills"
"108643301-0-200";"Blazing Might"
"108643301-0-201";"Brilliant Shield"
"108643301-0-202";"Healing Grace"
"108643301-0-203";"Breton Skills"
"108643301-0-218";"Herald of the Tome"
"108643301-0-219";"Soldier of Apocrypha"
"108643301-0-220";"Curative Runeforms"
"108643301-0-241";"Beasts of the Hunt"
"108643301-0-242";"Winter's Bite"
"108643301-0-243";"Verdant Growth"
"108643301-0-246";"Scholar of Apocrypha"
"108643301-0-247";"Quill Knight"
"108643301-0-248";"Revitalizing Researcher"
"108643301-0-249";"Redguard Skills"
"108643301-0-250";"Argonian Skills"
"108643301-0-260";"Warrior's Banishment"
"108643301-0-261";"Remedy of Atonement"
"108643301-0-262";"Guardian's Commitment"
"108643301-0-263";"Khajiit Skills"
"108643301-0-264";"Radiating Heart"
"108643301-0-265";"Draconic Armor"
"108643301-0-266";"Empathic Fighter"
"108643301-0-267";"High Elf Skills"
"108643301-0-294";"Cyrodiil Champion DPS"
"108643301-0-295";"Cyrodiil Champion Tank"
"108643301-0-296";"Cyrodiil Champion Support"
"108643301-0-297";"Vengeance Ardent Flame"
"108643301-0-298";"Vengeance Draconic Power"
"108643301-0-299";"Vengeance Earthen Heart"
"108643301-0-300";"Vengeance Assassination"
"108643301-0-301";"Vengeance Shadow"
"108643301-0-302";"Vengeance Siphoning"
"108643301-0-303";"Vengeance Aedric Spear"
"108643301-0-304";"Vengeance Dawn's Wrath"
"108643301-0-305";"Vengeance Restoring Light"
"108643301-0-306";"Vengeance Daedric Summoning"
"108643301-0-307";"Vengeance Dark Magic"
"108643301-0-308";"Vengeance Storm Calling"
"108643301-0-309";"Vengeance Animal Companions"
"108643301-0-310";"Vengeance Green Balance"
"108643301-0-311";"Vengeance Winter's Embrace"
"108643301-0-312";"Vengeance Grave Lord"
"108643301-0-313";"Vengeance Bone Tyrant"
"108643301-0-314";"Vengeance Living Death"
"108643301-0-315";"Vengeance Curative Runeforms"
"108643301-0-316";"Vengeance Soldier of Apocrypha"
"108643301-0-317";"Vengeance Herald of the Tome"
