"Location";"Source"
"41714900-0-1";"You do not meet the requirements."
"41714900-0-2";"You aren't in the right level range."
"41714900-0-3";"This is for a different race."
"41714900-0-4";"This is for a different class."
"41714900-0-5";"This is for a different alliance."
"41714900-0-6";"You don't have an item you need for this."
"41714900-0-7";"You lack something you need for this."
"41714900-0-8";"You aren't on that quest."
"41714900-0-9";"You've already completed this task."
"41714900-0-11";"Requires non-vulnerable target."
"41714900-0-16";"Off-balance target."
"41714900-0-17";"Can't be chambered."
"41714900-0-19";"Crit shot."
"41714900-0-20";"Target has heal over time effect."
"41714900-0-21";"Enemy casting."
"41714900-0-23";"Requires equipped shield."
"41714900-0-24";"2H weapon."
"41714900-0-27";"Out of range."
"41714900-0-31";"You can't reach that target."
"41714900-0-32";"No new item added."
"41714900-0-33";"No opening to exploit."
"41714900-0-34";"Target is not currently casting!"
"41714900-0-38";"You cannot use that here."
"41714900-0-40";"Parried."
"41714900-0-41";"Your action had no effect."
"41714900-0-42";"You can't do that while stunned."
"41714900-0-43";"You are too far away to use that item."
"41714900-0-44";"You cannot open that lock."
"41714900-0-46";"That is not a valid target."
"41714900-0-47";"At least 1 stack of entropy."
"41714900-0-50";"You need a key to open that."
"41714900-0-51";"That is not the proper target for this item."
"41714900-0-59";"Requires: Student (Mages Guild)"
"41714900-0-60";"Requires: Apprentice (Mages Guild)"
"41714900-0-61";"Requires 2H weapon."
"41714900-0-62";"Must have at least 1 rebirth charge."
"41714900-0-63";"Requires 1H weapon."
"41714900-0-65";"Need to be a Novice."
"41714900-0-69";"Must be on Study Smith quest."
"41714900-0-73";"Cannot be used while in Cyrodiil."
"41714900-0-78";"You can't do that now."
"41714900-0-81";"Target is not wounded."
"41714900-0-85";"Recently blocked."
"41714900-0-91";"You already have the boon this stone imparts."
"41714900-0-92";"Insufficient rebirth."
"41714900-0-93";"Target must have HoT effect."
"41714900-0-94";"Your target is not dead or you are in combat."
"41714900-0-101";"Target has negative magic effect."
"41714900-0-103";"Requires more ultimate."
"41714900-0-104";"This spider has already been scavenged."
"41714900-0-105";"You cannot use that while affected by Soul Shriven."
"41714900-0-106";"You can't do that while in combat."
"41714900-0-108";"Invalid target for that repair kit."
"41714900-0-109";"Must be in combat to activate."
"41714900-0-110";"That cannot be repaired because it's not a door."
"41714900-0-111";"The door is already being repaired."
"41714900-0-112";"You are not at the right location."
"41714900-0-113";"You already have this blessing."
"41714900-0-114";"Target must be dead."
"41714900-0-115";"You cannot open this door from this side."
"41714900-0-116";"Target must be subdued."
"41714900-0-117";"You must be behind your target."
"41714900-0-118";"Target either wrong type or too far away."
"41714900-0-122";"You cannot crouch while carrying an Elder Scroll."
"41714900-0-125";"Creature already summoned."
"41714900-0-128";"Your group isn't eligible to enter."
"41714900-0-129";"You are already wearing that."
"41714900-0-130";"Requires 10 stacks of evolving armor."
"41714900-0-133";"You must be hit more times to activate ability."
"41714900-0-134";"Target is too high or too low."
"41714900-0-136";"You must pick up spear to throw it again."
"41714900-0-137";"You cannot use that door right now."
"41714900-0-138";"You are already wearing a disguise."
"41714900-0-142";"No flowers are revealed."
"41714900-0-145";"Sneaking would raise suspicion."
"41714900-0-146";"Disguise not usable here."
"41714900-0-147";"This door is opened elsewhere."
"41714900-0-150";"More stamina."
"41714900-0-151";"You do not have permission to enter."
"41714900-0-152";"The tunnel has collapsed."
"41714900-0-154";"You cannot swap weapons now."
"41714900-0-157";"Must be in Werewolf form."
"41714900-0-160";"High health target."
"41714900-0-162";"Flying creatures are immune to snares."
"41714900-0-163";"You cannot repair at full health."
"41714900-0-165";"The door is barred from the other side."
"41714900-0-167";"You cannot repair a door that has recently taken damage."
"41714900-0-168";"You cannot repair a wall that has recently taken damage."
"41714900-0-169";"The door is firmly sealed from the other side."
"41714900-0-170";"You already know this motif."
"41714900-0-172";"You cannot repair at this time."
"41714900-0-173";"Can't mount while bracing."
"41714900-0-174";"Can't mount while crouching."
"41714900-0-175";"Your inventory is full."
"41714900-0-177";"This target is too powerful for that effect."
