"Location";"Source"
"235850260-0-1";"Some quests grant skill points as a reward upon completion."
"235850260-0-2";"When you collect three skyshards, you get one skill point. You can see the skyshards you have collected in the Zone Guide, as well as find hints about skyshard locations you might have missed."
"235850260-0-3";"Reading books from bookshelves will sometimes grant you a rank in one of your skill lines."
"235850260-0-4";"To dodge attacks, double-tap a movement key in the direction you wish to dodge."
"235850260-0-5";"At level 15, you can equip two weapons and swap between them during combat. You will also receive a different ability bar to match the swapped weapon."
"235850260-0-6";"You can't sprint and use abilities at the same time."
"235850260-0-7";"When you unlock weapon-swapping at level 15, you can decide to place the same type of weapon in both slots but select different abilities for your ability bar."
"235850260-0-8";"Powerful monsters lurk in the wilderness of Tamriel. Sometimes you will need help to defeat them. If you find one of these creatures, form a group with friends or guildmates."
"235850260-0-9";"Pay attention to the effect your abilities have on different types of monsters. Some powerful creatures are immune to certain effects, while whole groups of monsters might be resistant to others."
"235850260-0-10";"Explore different ability combinations on your ability bar. But remember, you can't change equipment or abilities while you're in combat unless you've unlocked weapon-swapping."
"235850260-0-11";"You don't just have class abilities; you have lots of skill lines. Press <<1>> to view your abilities, and to review skill lines for weapons, armor, race, and the many other types you may have acquired."
"235850260-0-12";"Sometimes you can reduce the legwork required to complete a quest by using the Intimidating Presence and Persuasive Will abilities during conversations."
"235850260-0-13";"Every once in a while, just pick a direction and run. Quests are everywhere, and exploration can reveal unexpected surprises, valuable treasures, and other rewards."
"235850260-0-14";"Wayshrines aren't just for resurrection. When you discover a wayshrine, you can use it to fast travel to other wayshrines you've visited."
"235850260-0-15";"Speaking to some NPCs or reading specific books in towns can reveal new locations on your map."
"235850260-0-16";"The art of lockpicking involves both sight and sound. Watch the tumblers, and when one trembles and begins to rumble, release it."
"235850260-0-17";"Fishing requires using the proper bait at the proper location. Your chances of getting a rare fish improve when more people fish at the same spot, but that can also make a fishing hole dry out faster."
"235850260-0-18";"If you lose track of where you are in a quest, press <<1>> to open your journal and read task information related to that quest."
"235850260-0-19";"Old books, notes, and journals can be found throughout Tamriel. Some just tell interesting stories, but others can unlock quests or provide clues to hidden treasures. Read everything!"
"235850260-0-20";"If choices in a conversation show up in red, the choice presented is significant and cannot be reversed without abandoning the quest. Select your response carefully!"
"235850260-0-21";"If you don't know what to do next in a quest, look for hints in the tracker text on the right side of your screen."
"235850260-0-22";"While using a cooking fire you can view recipes you've learned and ingredients required by unchecking the ""have ingredients"" and ""have skills"" check boxes."
"235850260-0-23";"Enchanters use three types of runestones to make glyphs: Aspect, Potency, and Essence. As long as you have at least one of each type, you will be able to create a glyph."
"235850260-0-24";"Items come in five quality levels represented by five colors: white, green, blue, purple, and gold. The colors signify the quality of the item in ascending order, but only for that particular level. For example, a blue level 14 item might be better than a gold level 10 item."
"235850260-0-25";"To craft, you will need to locate an appropriate crafting station. These can be found in most towns, and sometimes even out in the wilderness."
"235850260-0-27";"While using a crafting station anywhere in the world, all of the crafting materials stored in your bank will be available to use."
"235850260-0-28";"To add an enchantment to an item, right click the item and select ""enchant."" If you have a glyph of the appropriate level, you will be able to enchant that item."
"235850260-0-29";"There are three types of glyph categories that can be used to enchant item types: Armor, Jewelry, and Weapon."
"235850260-0-30";"Weapons with enchantments possess charges. If your weapon runs out of charges, you will need to recharge it using a full soul gem. If you have a full soul gem in your inventory, right-click on the weapon and select ""charge."""
"235850260-0-31";"Press <<1>> to cycle through your active quests, and to select which quest you are currently tracking."
"235850260-0-32";"To place a 'waypoint' on your map, open the map and press <<1>>. A custom waypoint will appear on your map and on your compass."
"235850260-0-33";"Consumable items (potions, food, etc.) can be loaded to your quickslot menu for use during combat. Press <<1>> to open your Inventory, then click the ""Quickslots"" button in the top right corner and drag the item to an empty slot."
"235850260-0-34";"Press <<1>> to use an item in your currently selected quickslot. To select an item in a different quickslot, hold down <<1>> while not in a menu screen, and highlight the item you wish to select for quick use."
"235850260-0-35";"You can enter Cyrodiil once you reach Level 10 by hitting <<1>> and selecting the Campaigns Menu, then selecting a Campaign. Then press <<2>> to join!"
"235850260-0-36";"Enter 'cursor' mode by pressing <<1>>."
"235850260-0-37";"Be sure to spend your skill and attribute points after you level up."
"235850260-0-38";"While in Cyrodiil, you can fast travel to any keep your alliance controls via the ""Transitus Shrine"" network. You cannot travel to a keep when it is under attack or when other alliances control all of its resources."
"235850260-0-39";"You can resurrect yourself or another player on the spot if you have a full soul gem in your inventory."
"235850260-0-40";"Soul gems can be filled using the Soul Trap ability, found in the Soul Magic skill line, by casting the ability on a foe and killing it before the effect wears off. You must have an empty soul gem in your inventory to trap a particular soul."
"235850260-0-41";"Fleeing is a perfectly valid tactic if you wander into a tough situation. Find or craft better gear, use skill points, or level up a bit more, then come back to fight another day."
"235850260-0-42";"Adventuring takes its toll, so don't forget to check your gear every once in a while. Most merchants can repair damaged gear—for a modest fee, of course."
"235850260-0-43";"You can speak to other members of your guilds in guild chat by typing ""/guild1,"" ""/guild2,"" etc."
