"Location";"Source"
"9424005-0-1";"Голова"
"9424005-0-2";"Груди"
"9424005-0-3";"Плечі"
"9424005-0-4";"Руки"
"9424005-0-5";"Пасок"
"9424005-0-6";"Ноги"
"9424005-0-7";"Ступні"
"9424005-0-8";"Одноручна зброя"
"9424005-0-9";"Дворучна зброя"
"9424005-0-10";"Посохи"
"9424005-0-11";"Луки"
"9424005-0-12";"Комірки"
"9424005-0-13";"Одяг"
"9424005-0-14";"Капелюхи"
"9424005-0-15";"Скіни"
"9424005-0-16";"Їздові звірі"
"9424005-0-17";"Особистості"
"9424005-0-18";"Зачіски"
"9424005-0-19";"Волосся на обличчі"
"9424005-0-20";"Прикраси для обличчя"
"9424005-0-21";"Коштовності"
"9424005-0-22";"Відмітини на голові"
"9424005-0-23";"Відмітини на тілі"
