"Location";"Source"
"58548677-0-1";"Relic Runner"
"58548677-0-2";"Double Kill"
"58548677-0-3";"Triple Kill"
"58548677-0-4";"Quadruple Kill"
"58548677-0-5";"Bruiser"
"58548677-0-6";"Fearsome Fighter"
"58548677-0-7";"Gladiator"
"58548677-0-8";"Champion"
"58548677-0-9";"Heavy Hitter"
"58548677-0-10";"Crushing Blow"
"58548677-0-11";"Minor Mender"
"58548677-0-12";"Heroic Healer"
"58548677-0-13";"Medic"
"58548677-0-14";"Fearless Physician"
"58548677-0-15";"Critical Heal"
"58548677-0-16";"Rapid Recovery"
"58548677-0-17";"Relic Hunter"
"58548677-0-18";"Triple Threat"
"58548677-0-19";"Flag Defender"
"58548677-0-20";"Killing Blow"
"58548677-0-21";"Furious Strikes"
"58548677-0-22";"Killing Frenzy"
"58548677-0-23";"Assist"
"58548677-0-24";"Vigilant Defender"
"58548677-0-25";"Offensive Execution"
"58548677-0-26";"Defensive Execution"
"58548677-0-27";"Humble Protector"
"58548677-0-28";"Devoted Protector"
"58548677-0-29";"Sublime Protector"
"58548677-0-30";"Divine Protector"
"58548677-0-31";"Helping Hand"
"58548677-0-32";"Blessed Assistance"
"58548677-0-33";"Gleaming Guardian"
"58548677-0-34";"Dauntless Defender"
"58548677-0-35";"Valiant Vanguard"
"58548677-0-36";"Steady Centurion"
"58548677-0-37";"Iron Soul"
"58548677-0-38";"Steel Skin"
"58548677-0-39";"Dominator"
"58548677-0-40";"First Strike"
"58548677-0-41";"Expert Relic Runner"
"58548677-0-43";"Superb Relic Runner"
"58548677-0-44";"Elite Relic Runner"
"58548677-0-46";"Relic Relinquisher"
"58548677-0-47";"Relic Executioner"
"58548677-0-48";"First Relic"
"58548677-0-55";"Critical Healer"
"58548677-0-56";"Relic Protector"
"58548677-0-57";"Divine Guardian"
"58548677-0-58";"Devoted Protection"
"58548677-0-59";"Humble Protection"
"58548677-0-60";"Relic Bruiser"
"58548677-0-61";"Relic Fearsome Fighter"
"58548677-0-62";"Relic Gladiator"
"58548677-0-63";"Relic Champion"
"58548677-0-64";"Relic Crushing Blow"
"58548677-0-65";"Ball Bearer"
"58548677-0-66";"Thirty Second Carry"
"58548677-0-67";"Sixty Second Carry"
"58548677-0-68";"Ninety Second Carry"
"58548677-0-70";"First Carry"
"58548677-0-71";"Chaos Shaman"
"58548677-0-72";"Chaos Bruiser"
"58548677-0-73";"Chaos Devastator"
"58548677-0-74";"Chaos Destroyer"
"58548677-0-75";"Ball Buster"
"58548677-0-76";"Chaos Champion"
"58548677-0-77";"Chaos Guardian"
"58548677-0-78";"Chaos Hunter"
"58548677-0-79";"Chaos Mender"
"58548677-0-80";"Chaos Healer"
"58548677-0-81";"Chaos Protector"
