"Location";"Source"
"205344756-0-3306";"Alinon the Alchemist is working on a way to cure the unique lycanthropy that Faolchu has spread through the city. General Mandin asked me to help him complete the cure."
"205344756-0-3878";"A Nord commander named <<1>> asked me to help defend Davon's Watch."
"205344756-0-3897";"I freed a Nord named Svanhildr from the Orcs in Malak's Maw. Now she has a plan to deal with the Orcs."
"205344756-0-3899";"<<1>> asked me to retrieve an ancient relic."
"205344756-0-3903";"I encountered a Dunmer lurking in a cave near Malak's Maw. He informed me that a Nord woman named Svanhildr was captured by Orcs. I offered to rescue her in his stead."
"205344756-0-3911";"<<1>> and his brothers want to take revenge on the Vereansu for killing their father, who was afflicted with the Llodos plague and was being cared for by the monks of Muth Gnaar."
"205344756-0-3922";"I encountered Vara-Zeen, the leader of the Argonian village of Silent Mire. The settlement is under attack by Khajiiti pirates and I have offered my assistance."
"205344756-0-3923";"I encountered an Argonian named Hooks-Fish at a crossroad in southeastern Deshaan. He said Khajiiti pirates are raiding his village, Silent Mire. I've offered to investigate."
"205344756-0-3988";"Some pirates in <<1>> captured one of the vicecanons' assistants from <<2>>."
"205344756-0-4014";"Renegade Kagesh Ashlanders beseige <<1>>. A Kagesh wise woman needs help diffusing the hostilities."
"205344756-0-4035";"Hostile Kagesh Ashlanders led by <<1>> are besieging <<2>>. A Kagesh wise woman, <<3>>, wants to work with the housemen to stop the attack. She believes the current peace is better than another cycle of religious bloodshed."
"205344756-0-4072";"The Supernal Dreamers have stolen a Crystal of Power from Lord Geoffroi Stictal. They shattered it into five parts to perform some terrible ritual. He asked me to kill cultists and recover the five shards."
"205344756-0-4116";"Necromancers attacked a traveling merchant named <<1>> and her companion, <<2>>. She escaped, but the Worm Cult captured her companion and their guards."
"205344756-0-4124";"<<1>> heard sounds of battle from the Worm Cult camp below <<2>>. She suspects the cultists attacked travelers, and suggested I try to aid one of their number named ""<<3>>""."
"205344756-0-4149";"<<1>> and his brothers want to take revenge on the Vereansu for killing their father, who was afflicted with the Llodos plague and was being cared for by the monks of Muth Gnaar."
"205344756-0-4150";"<<1>> and his brothers want to take revenge on the Vereansu for killing their father, who was afflicted with the Llodos plague and was being cared for by the monks of Muth Gnaar."
"205344756-0-4218";"A shady character named <<1>> contacted me in Ebonheart. He said we could both profit if I could ""procure"" a rare and expensive bottle of <<2>> for him."
"205344756-0-4329";"I have found a prisoner."
"205344756-0-4342";"I must find and kill Remelie. She should be in one of the nearby Supernal Dreamer camps."
"205344756-0-4395";"I traveled to an island off the coast of Skyrim, to a village called Bleakrock. The outpost offers early warnings of attacks on the shore."
"205344756-0-4430";"An Argonian in  <<1>> asked me to find his brother, <<2>>. He was in the nearby mine when Goblins overran it."
"205344756-0-4628";"I've encountered Companion warrior Narir at the edge of a ruined dig site. He told me of a Worm Cult attack and the dangers of an ancient Nord puzzle."
"205344756-0-4716";"Redguard invaders and Wood Orcs from the Drublog clan attacked Velyn Harbor. <<1>> plans to create a militia to take back the city."
"205344756-0-4722";"The abandoned ruins of Arx Corinium are held hostage by the evil Lamia Queen. I must seek out the Nereid Sisters and aid them to cleanse the ruins."
"205344756-0-4786";"Wayrest authorities were investigating reports of heavily-armed ruffians in the city sewers when they were betrayed by one of their own, a necromancer named Garron."
"205344756-0-4817";"Baandari traders in Malabal Tor are experiencing difficulties with nearby Gold Coast mercenaries."
"205344756-0-4823";"In the midst of a Reachman attack on Shor's Stone, I've reconnected with Aera Earth-Turner. Once a villager on the island of Bleakrock, Aera has changed. She now hunts enemies of the Pact."
"205344756-0-4828";"An Altmer scholar named Magister Mininque wants a book from Skald Skullsplitter, a famous Nord poet. He's in a nearby drinking hall with other drunk Nords."
"205344756-0-4870";"Gorgath Deadeye is after a Redguard called Varnedo. Rumor has Varnedo in Ivarstead and Gorgath will give me a reward for tracking him down."
"205344756-0-4907";"I found a staff with Nord markings. Perhaps someone at Fallowstone Hall can identify it."
"205344756-0-4920";"A Lion Guard initiate, Recruit Gorak, is lost in the swamp outside of Aldcroft. He was apparently trying to recover a military dispatch when he went missing."
"205344756-0-4921";"I ran across a Lion Guard recruit who had been captured by the Bloodthorn cult in the swamps outside of Aldcroft. He wants me to help him complete his mission."
"205344756-0-4983";"A crazy person on the beach directed me toward the bridge into Castle Rilis. Said people claiming to be relatives of Rilis the Twelfth were searching through the ruins. I should look into this."
"205344756-0-5047";"There's been a Goblin uprising in <<1>>, and <<2>> wants me to quell it."
"205344756-0-5064";"Raiders have attacked the camp of Tharayya, a Redguard woman I met. They killed many of her companions, and are barring her path."
"205344756-0-5085";"<<1>> asked me to seek out <<2>> at <<3>> to help him defend it against the Reachmen."
"205344756-0-5088";"I met a Dunmer fleeing a Worm Cult attack at Taarengrav. He told me the Worm Cult attacked a nearby dig site, hoping to unlock an ancient puzzle."
"205344756-0-5105";"I found a dead farmer with a note requesting aid for Treva's Farm. Treva fears the Worm Cult is going to attack."
"205344756-0-5109";"One of <<c:1>>'s guards recognized me from Velyn Harbor, and asked if I could help her once again."
"205344756-0-5120";"Captain Kaleen wants me to locate Crafty Lerisa and convince her to join in on the heist."
