"Location";"Source"
"70307621-0-10";"Enter"
"70307621-0-62";"Collect"
"70307621-0-85";"Open"
"70307621-0-95";"Collect"
"70307621-0-97";"Collect"
"70307621-0-101";"Mine"
"70307621-0-136";"Activate"
"70307621-0-150";"Activate"
"70307621-0-151";"Activate"
"70307621-0-152";"Activate"
"70307621-0-153";"Activate"
"70307621-0-154";"Activate"
"70307621-0-155";"Activate"
"70307621-0-156";"Activate"
"70307621-0-157";"Activate"
"70307621-0-158";"Activate"
"70307621-0-159";"Activate"
"70307621-0-160";"Activate"
"70307621-0-209";"Search"
"70307621-0-235";"Open"
"70307621-0-267";"Open"
"70307621-0-269";"Examine"
"70307621-0-271";"Place"
"70307621-0-272";"Unlock"
"70307621-0-273";"Unlock"
"70307621-0-274";"Unlock"
"70307621-0-293";"Examine"
"70307621-0-294";"Examine"
"70307621-0-295";"Examine"
"70307621-0-352";"Examine"
"70307621-0-354";"Examine"
"70307621-0-379";"Open"
"70307621-0-380";"Search"
"70307621-0-383";"Open"
"70307621-0-411";"Examine"
"70307621-0-412";"Examine"
"70307621-0-413";"Examine"
"70307621-0-414";"Examine"
"70307621-0-415";"Examine"
"70307621-0-416";"Examine"
"70307621-0-417";"Examine"
"70307621-0-418";"Examine"
"70307621-0-419";"Examine"
"70307621-0-446";"Open"
"70307621-0-451";"Activate"
"70307621-0-456";"Examine"
"70307621-0-457";"Examine"
"70307621-0-459";"Examine"
"70307621-0-461";"Examine"
"70307621-0-477";"Search"
"70307621-0-478";"Collect"
"70307621-0-482";"Open"
"70307621-0-484";"Examine"
"70307621-0-485";"Examine"
"70307621-0-487";"Examine"
"70307621-0-488";"Examine"
"70307621-0-489";"Examine"
"70307621-0-490";"Examine"
"70307621-0-514";"Collect"
"70307621-0-515";"Collect"
"70307621-0-516";"Collect"
"70307621-0-517";"Collect"
"70307621-0-518";"Collect"
"70307621-0-519";"Collect"
"70307621-0-520";"Collect"
"70307621-0-521";"Collect"
"70307621-0-522";"Collect"
"70307621-0-523";"Collect"
"70307621-0-524";"Collect"
"70307621-0-525";"Collect"
"70307621-0-526";"Collect"
"70307621-0-527";"Collect"
"70307621-0-535";"Search"
"70307621-0-557";"Examine"
"70307621-0-558";"Examine"
"70307621-0-559";"Examine"
"70307621-0-568";"Collect"
"70307621-0-569";"Examine"
"70307621-0-570";"Open"
"70307621-0-572";"Examine"
"70307621-0-573";"Open"
"70307621-0-575";"Open"
"70307621-0-580";"Enter"
"70307621-0-581";"Take"
"70307621-0-582";"Take"
"70307621-0-583";"Take"
"70307621-0-584";"Take"
"70307621-0-620";"Enter"
"70307621-0-621";"Enter"
"70307621-0-622";"Enter"
"70307621-0-650";"Enter"
"70307621-0-663";"Examine"
"70307621-0-665";"Examine"
"70307621-0-666";"Examine"
"70307621-0-667";"Examine"
"70307621-0-668";"Examine"
"70307621-0-673";"Enter"
"70307621-0-674";"Enter"
"70307621-0-678";"Examine"
"70307621-0-679";"Examine"
"70307621-0-680";"Examine"
"70307621-0-681";"Examine"
"70307621-0-683";"Search"
"70307621-0-684";"Search"
"70307621-0-685";"Search"
"70307621-0-686";"Search"
"70307621-0-693";"Read"
"70307621-0-701";"Read"
"70307621-0-702";"Read"
"70307621-0-703";"Climb"
"70307621-0-707";"Read"
"70307621-0-708";"Read"
"70307621-0-710";"Search"
"70307621-0-712";"Search"
"70307621-0-713";"Search"
"70307621-0-714";"Search"
"70307621-0-716";"Disrupt"
"70307621-0-717";"Disrupt"
"70307621-0-718";"Disrupt"
"70307621-0-719";"Disrupt"
"70307621-0-732";"Examine"
"70307621-0-733";"Examine"
"70307621-0-735";"Examine"
"70307621-0-740";"Burn"
"70307621-0-742";"Burn"
"70307621-0-743";"Burn"
"70307621-0-744";"Burn"
"70307621-0-746";"Move"
"70307621-0-747";"Burn"
"70307621-0-748";"Burn"
"70307621-0-749";"Burn"
"70307621-0-750";"Burn"
"70307621-0-751";"Burn"
"70307621-0-752";"Burn"
"70307621-0-753";"Burn"
"70307621-0-754";"Burn"
"70307621-0-756";"Examine"
"70307621-0-758";"Examine"
"70307621-0-762";"Climb"
"70307621-0-778";"Use"
"70307621-0-779";"Board"
"70307621-0-792";"Take"
"70307621-0-804";"Open"
"70307621-0-807";"Examine"
"70307621-0-808";"Examine"
"70307621-0-809";"Examine"
"70307621-0-811";"Read"
"70307621-0-812";"Read"
"70307621-0-813";"Read"
"70307621-0-816";"Read"
"70307621-0-818";"Read"
"70307621-0-824";"Climb"
"70307621-0-825";"Read"
"70307621-0-833";"Read"
"70307621-0-834";"Open"
"70307621-0-835";"Open"
"70307621-0-845";"Open"
"70307621-0-847";"Take"
"70307621-0-857";"Examine"
"70307621-0-868";"Examine"
"70307621-0-880";"Unlock"
"70307621-0-881";"Unlock"
"70307621-0-882";"Unlock"
"70307621-0-888";"Examine"
"70307621-0-890";"Enter"
"70307621-0-891";"Enter"
"70307621-0-893";"Examine"
"70307621-0-902";"Open"
"70307621-0-913";"Unlock"
"70307621-0-914";"Unlock"
"70307621-0-916";"Take"
"70307621-0-924";"Travel"
"70307621-0-931";"Enter"
"70307621-0-932";"Climb"
"70307621-0-935";"Search"
"70307621-0-938";"Place"
"70307621-0-939";"Examine"
"70307621-0-944";"Read"
"70307621-0-945";"Use"
"70307621-0-948";"Use"
"70307621-0-956";"Examine"
"70307621-0-966";"Use"
"70307621-0-968";"Use"
"70307621-0-973";"Take"
"70307621-0-977";"Examine"
"70307621-0-982";"Examine"
"70307621-0-984";"Read"
"70307621-0-985";"Read"
"70307621-0-986";"Read"
"70307621-0-1000";"Examine"
"70307621-0-1001";"Examine"
"70307621-0-1005";"Examine"
"70307621-0-1006";"Examine"
"70307621-0-1007";"Examine"
"70307621-0-1009";"Read"
"70307621-0-1013";"Examine"
"70307621-0-1014";"Examine"
"70307621-0-1020";"Use"
"70307621-0-1021";"Use"
"70307621-0-1022";"Use"
"70307621-0-1023";"Use"
"70307621-0-1024";"Examine"
"70307621-0-1037";"Open"
"70307621-0-1044";"Examine"
"70307621-0-1049";"Examine"
"70307621-0-1050";"Examine"
"70307621-0-1051";"Examine"
"70307621-0-1052";"Examine"
"70307621-0-1053";"Examine"
"70307621-0-1054";"Examine"
"70307621-0-1056";"Enter"
"70307621-0-1069";"Enter"
"70307621-0-1071";"Burn"
"70307621-0-1072";"Burn"
"70307621-0-1073";"Burn"
"70307621-0-1074";"Burn"
"70307621-0-1076";"Burn"
"70307621-0-1077";"Burn"
"70307621-0-1078";"Burn"
"70307621-0-1079";"Burn"
"70307621-0-1080";"Burn"
"70307621-0-1082";"Burn"
"70307621-0-1083";"Burn"
"70307621-0-1086";"Examine"
"70307621-0-1087";"Examine"
"70307621-0-1091";"Examine"
"70307621-0-1106";"Open"
"70307621-0-1132";"Open"
"70307621-0-1134";"Open"
"70307621-0-1143";"Examine"
"70307621-0-1144";"Examine"
"70307621-0-1145";"Examine"
"70307621-0-1146";"Read"
"70307621-0-1147";"Read"
"70307621-0-1148";"Enter"
"70307621-0-1151";"Read"
"70307621-0-1152";"Enter"
"70307621-0-1154";"Examine"
"70307621-0-1159";"Examine"
"70307621-0-1160";"Examine"
"70307621-0-1161";"Examine"
"70307621-0-1162";"Examine"
"70307621-0-1163";"Examine"
"70307621-0-1168";"Use"
"70307621-0-1177";"Open"
"70307621-0-1180";"Open"
"70307621-0-1190";"Examine"
"70307621-0-1191";"Examine"
"70307621-0-1192";"Examine"
"70307621-0-1193";"Examine"
"70307621-0-1235";"Climb"
"70307621-0-1237";"Open"
"70307621-0-1239";"Examine"
"70307621-0-1258";"Examine"
"70307621-0-1259";"Examine"
"70307621-0-1260";"Examine"
"70307621-0-1261";"Examine"
"70307621-0-1262";"Examine"
"70307621-0-1263";"Examine"
"70307621-0-1264";"Examine"
"70307621-0-1265";"Examine"
"70307621-0-1270";"Examine"
"70307621-0-1287";"Examine"
"70307621-0-1288";"Examine"
"70307621-0-1303";"Open"
"70307621-0-1305";"Open"
"70307621-0-1317";"Examine"
"70307621-0-1319";"Open"
"70307621-0-1320";"Open"
"70307621-0-1321";"Open"
"70307621-0-1322";"Open"
"70307621-0-1323";"Open"
"70307621-0-1324";"Open"
"70307621-0-1333";"Open"
"70307621-0-1392";"Enter"
"70307621-0-1415";"Climb"
"70307621-0-1456";"Use"
"70307621-0-1467";"Use"
"70307621-0-1468";"Use"
"70307621-0-1469";"Use"
"70307621-0-1470";"Use"
"70307621-0-1478";"Examine"
"70307621-0-1512";"Search"
"70307621-0-1514";"Examine"
"70307621-0-1523";"Examine"
"70307621-0-1524";"Examine"
"70307621-0-1597";"Examine"
"70307621-0-1598";"Examine"
"70307621-0-1599";"Examine"
"70307621-0-1601";"Examine"
"70307621-0-1647";"Place"
"70307621-0-1653";"Use"
"70307621-0-1675";"Open"
"70307621-0-1688";"Open"
"70307621-0-1695";"Take"
"70307621-0-1696";"Take"
"70307621-0-1697";"Take"
"70307621-0-1698";"Take"
"70307621-0-1699";"Examine"
"70307621-0-1705";"Activate"
"70307621-0-1707";"Cast"
"70307621-0-1708";"Activate"
"70307621-0-1709";"Activate"
"70307621-0-1710";"Activate"
"70307621-0-1711";"Activate"
"70307621-0-1712";"Activate"
"70307621-0-1713";"Use"
"70307621-0-1714";"Kill"
"70307621-0-1718";"Use"
"70307621-0-1720";"Examine"
"70307621-0-1721";"Examine"
"70307621-0-1722";"Examine"
"70307621-0-1723";"Examine"
"70307621-0-1727";"Burn"
"70307621-0-1728";"Burn"
"70307621-0-1729";"Burn"
"70307621-0-1730";"Burn"
"70307621-0-1731";"Take"
"70307621-0-1732";"Destroy"
"70307621-0-1734";"Activate"
"70307621-0-1735";"Activate"
"70307621-0-1736";"Activate"
"70307621-0-1737";"Activate"
"70307621-0-1740";"Examine"
"70307621-0-1741";"Light"
"70307621-0-1747";"Open"
"70307621-0-1758";"Search"
"70307621-0-1761";"Open"
"70307621-0-1803";"Examine"
"70307621-0-1811";"Search"
"70307621-0-1813";"Examine"
"70307621-0-1814";"Examine"
"70307621-0-1815";"Examine"
