"Location";"Source"
"207398837-0-59390";"Atin in Wayrest"
"207398837-0-59391";"Goudadul in Marbruk"
"207398837-0-59392";"Estilldo in Wayrest"
"207398837-0-59393";"Azarati in Wayrest"
"207398837-0-59394";"Morg in Wayrest"
"207398837-0-59395";"Tredyn Daram in Wayrest"
"207398837-0-59396";"Ah-Zish in Wayrest"
"207398837-0-59478";"Aniama in Koeglin Village, Stormhaven"
"207398837-0-59479";"Dromash near Firebrand Keep, Stormhaven"
"207398837-0-59486";"Makmargo in Stros M'Kai"
"207398837-0-59487";"Ghatrugh in Betnikh"
"207398837-0-59489";"Brara Hlaalo in Daggerfall"
"207398837-0-59490";"Khalatah in Daggerfall"
"207398837-0-59491";"Sintilfalion in Daggerfall"
"207398837-0-59492";"Mogazgur near the Wyrd Tree, Glenumbra"
"207398837-0-59493";"Nameel in the Lion Guard Redoubt, Glenumbra"
"207398837-0-59495";"Shakh in Shornhelm"
"207398837-0-59496";"Vorh in Shornhelm"
"207398837-0-59497";"Roudi in Shornhelm"
"207398837-0-59498";"Fanwyearie in Oldgate, Rivenspire"
"207398837-0-59499";"Aldam Urvyn in Hoarfrost Downs, Rivenspire"
"207398837-0-59504";"Saymimah in Sentinel"
"207398837-0-59505";"Yat in Sentinel"
"207398837-0-59506";"Laknar in Sentinel"
"207398837-0-59507";"Lejesha in Bergama, Alik'r"
"207398837-0-59508";"Manidah in Morwha's Bounty, Alik'r"
"207398837-0-59523";"Tilinarie in Evermore"
"207398837-0-59524";"Arver Falos in Evermore"
"207398837-0-59525";"Values-Many-Things in Evermore"
"207398837-0-59526";"Malirzzaka near Bangkorai Garrison, Bangkorai"
"207398837-0-59527";"Glorgzorgo near Hallin's Stand, Bangkorai"
"207398837-0-59535";"Inishez on Bleakrock Isle"
"207398837-0-59536";"Galam Seleth in Bal Foyen"
"207398837-0-59537";"Ma'jidid in Kragenmoor, Stonefalls"
"207398837-0-59538";"J'zaraer in Ebonheart"
"207398837-0-59539";"Silver-Scales in Ebonheart"
"207398837-0-59540";"Tanur Llervu in Davon's Watch, Stonefalls"
"207398837-0-59541";"Luz in Ebonheart"
"207398837-0-59548";"Gals Fendyn in Mournhold"
"207398837-0-59549";"Hayaia in Mournhold"
"207398837-0-59550";"Erwurlde in Mournhold"
"207398837-0-59551";"Through-Gilded-Eyes in Mournhold"
"207398837-0-59552";"Razgugul in Mournhold"
"207398837-0-59553";"Zarum in Mournhold"
"207398837-0-59554";"Urvel Hlaren in Ebonheart"
"207398837-0-59555";"Feran Relenim in Muth Gnaar, Deshaan"
"207398837-0-59556";"Telvon Arobar in Tal'daic Fortress, Deshaan"
"207398837-0-59572";"Dulia in Khenarthi's Roost"
"207398837-0-59573";"Shamuniz in Khenarthi's Roost"
"207398837-0-59574";"Lanirsare in Skywatch"
"207398837-0-59575";"Carillda in Vulkhel Guard, Auridon"
"207398837-0-59576";"Panersewen in Firsthold, Auridon"
"207398837-0-59577";"Ferzhela in Skywatch"
"207398837-0-59578";"Renzaiq in Skywatch"
"207398837-0-59585";"Mizul in Elden Root"
"207398837-0-59586";"Shiniraer in Rawl'kha"
"207398837-0-59587";"Fintilorwe in Elden Root"
"207398837-0-59589";"Naifineh in Elden Root"
"207398837-0-59590";"Goh in Elden Root"
"207398837-0-59591";"Bols Thirandus in Elden Root"
"207398837-0-59592";"Walks-In-Leaves in Elden Root"
"207398837-0-59593";"Glothozug near Southpoint, Grahtwood"
"207398837-0-59594";"Nirywy near Cormount, Grahtwood"
"207398837-0-59598";"Camyaale in Marbruk"
"207398837-0-59599";"Ghobargh in Marbruk"
"207398837-0-59600";"Fendros Faryon in Marbruk"
"207398837-0-59601";"Halash near Greenheart, Greenshade"
"207398837-0-59602";"Seeks-Better-Deals near Verrant Morass, Greenshade"
"207398837-0-59608";"Jalaima in the Baandari Trading Post"
"207398837-0-59609";"Teromawen in the Baandari Trading Post"
"207398837-0-59610";"Mani in the Baandari Trading Post"
"207398837-0-59611";"Kharg near Valeguard, Malabal Tor"
"207398837-0-59612";"Ulyn Marys near Dra'bul, Malabal Tor"
"207398837-0-59614";"Heat-On-Scales in Rawl'kha"
"207398837-0-59615";"Muheh in Rawl'kha"
"207398837-0-59616";"Ronuril in Rawl'kha"
"207398837-0-59617";"Uzarrur near Dune, Reaper's March"
"207398837-0-59618";"Ambarys Teran near Vinedusk Village, Reaper's March"
"207398837-0-59619";"Tar-Shehs in Stormhold"
"207398837-0-59620";"Junal-Nakal in the Venomous Fens, Shadowfen"
"207398837-0-59621";"Talen-Dum near Hissmir, Shadowfen"
"207398837-0-59622";"Vals Salvani in Stormhold"
"207398837-0-59623";"Gasheg in Stormhold"
"207398837-0-59631";"Dosa in Windhelm"
"207398837-0-59632";"Deras Golathyn in Windhelm"
"207398837-0-59633";"Ghogurz in Windhelm"
"207398837-0-59634";"Alisewen in Windhelm"
"207398837-0-59635";"Muslabliz near Fort Amol, Eastmarch"
"207398837-0-59641";"Jeelus-Lei in Riften"
"207398837-0-59642";"Llether Nilem in Riften"
"207398837-0-59643";"Arnyeana in Riften"
"207398837-0-59644";"Parvaia in Riften"
"207398837-0-59645";"Adainji in Shor's Stone, The Rift"
"207398837-0-59646";"Balver Sarvani in the Hollow City"
"207398837-0-59647";"Virwillaure in the Hollow City"
"207398837-0-59648";"Ramzasa in the Hollow City"
"207398837-0-59649";"Harzdak near the Court of Contempt, Coldharbour"
"207398837-0-59650";"Shuliish in Haj Uxith, Coldharbour"
"207398837-0-59653";"Shuhasa in Belkarth"
"207398837-0-59654";"Mengilwaen in Belkarth"
"207398837-0-59655";"Glegokh in Belkarth"
"207398837-0-59656";"Shelzaka in Belkarth"
"207398837-0-59657";"Nelvon Galen in Belkarth"
"207398837-0-59658";"Keen-Eyes in Belkarth"
"207398837-0-59659";"Guzg in Skywatch"
"207398837-0-59665";"Cerweriell in Skywatch"
"207398837-0-59667";"Nistyniel in the Hollow City"
"207398837-0-59668";"Donnaelain in Belkarth"
"207398837-0-59669";"Iannianith in Elden Root"
"207398837-0-59670";"Hasiwen in Marbruk"
"207398837-0-59671";"Alareth near Voljar Meadery, Eastmarch"
"207398837-0-59672";"Nindenel in the Baandari Trading Post"
"207398837-0-59673";"Canda in Rawl'kha"
"207398837-0-59674";"Uurwaerion in Sentinel"
"207398837-0-59675";"Kaale in Evermore"
"207398837-0-59676";"Faedre in Daggerfall"
"207398837-0-59677";"Frenidela in Shornhelm"
"207398837-0-59678";"Aerchith in Wayrest"
"207398837-0-59679";"Endoriell in Mournhold"
"207398837-0-59680";"Atheval in Nimalten, The Rift"
"207398837-0-59681";"Celorien in Windhelm"
"207398837-0-59682";"Emuin in Stormhold"
"207398837-0-59683";"Gananith in Ebonheart"
"207398837-0-59684";"Eralian in Riften"
"207398837-0-59686";"Vinder Hlaran in Sentinel"
"207398837-0-59688";"Zunlog in Evermore"
"207398837-0-59689";"Murgoz in Daggerfall"
"207398837-0-59690";"Tendir Vlaren in Shornhelm"
"207398837-0-59691";"Murgrud in the Baandari Trading Post"
"207398837-0-59692";"Zino in Stormhold"
"207398837-0-61964";"Uraacil in Vulkhel Guard"
"207398837-0-61989";"Meden Berendus in Windhelm"
"207398837-0-61990";"Naerorien in Elden Root"
"207398837-0-62555";"Dugugikh in Marbruk"
"207398837-0-62562";"Galis Andalen in Velyn Harbor"
"207398837-0-62571";"Sharaddargo in Rawl'kha"
"207398837-0-62664";"Zulgozu in Daggerfall"
"207398837-0-62762";"Essilion in Wayrest"
"207398837-0-62813";"Marbilah in Sentinel"
"207398837-0-62851";"Ornyenque in Evermore"
"207398837-0-62854";"Bixitleesh in Shornhelm"
"207398837-0-62918";"Adagwen in Davon's Watch"
"207398837-0-62930";"Nakmargo in Mournhold"
"207398837-0-63066";"Geeh-Sakka in Stormhold"
"207398837-0-63259";"Relieves-Burdens in Vivec City Refuge"
"207398837-0-63527";"Felayn Uvaram in Sadrith Mora"
"207398837-0-63533";"Runik in Sadrith Mora"
"207398837-0-63534";"Ruxultav in Sadrith Mora"
"207398837-0-64032";"Majdawa in Riften"
"207398837-0-64044";"Makkhzahr in Belkarth"
"207398837-0-67237";"Henriette Panoit in Morkul Stronghold"
"207398837-0-67239";"Borgrara in Morkul Stronghold"
"207398837-0-67240";"Nagrul gro-Stugbaz in Morkul Stronghold"
"207398837-0-67241";"Oorgurn in Morkul Stronghold"
"207398837-0-67344";"Narkhukulg in Orsinium"
"207398837-0-68092";"Virwen in Abah's Landing"
"207398837-0-68093";"Shiny-Trades in Abah's Landing"
"207398837-0-68094";"Gathewen in Abah's Landing"
"207398837-0-68095";"Farvyn Rethan in Abah's Landing"
"207398837-0-68096";"Qanliz in Abah's Landing"
"207398837-0-68097";"Snegbug in Abah's Landing"
"207398837-0-68098";"Dahnadreel in Abah's Landing"
"207398837-0-68445";"Majhasur in Anvil, Gold Coast"
"207398837-0-68446";"Onurai-Maht in Anvil, Gold Coast"
"207398837-0-68447";"Daynas Sadrano in Anvil, Gold Coast"
"207398837-0-68452";"Lianorien in Orsinium"
"207398837-0-68453";"Mabit in Orsinium"
"207398837-0-68454";"Jee-Ma in Orsinium"
"207398837-0-68455";"Terorne in Orsinium"
"207398837-0-68460";"Mervs Sarys in Orsinium"
"207398837-0-68461";"Logogru in Orsinium"
"207398837-0-68526";"Erluramar in Kvatch, Gold Coast"
"207398837-0-68527";"Zagh in Kvatch, Gold Coast"
"207398837-0-68528";"Farul in Kvatch, Gold Coast"
"207398837-0-68529";"Syalleth in Anvil"
"207398837-0-73575";"Shuhasa in Belkarth"
"207398837-0-73576";"Mengilwaen in Belkarth"
"207398837-0-73577";"Glegokh in Belkarth"
"207398837-0-73578";"Shelzaka in Belkarth"
"207398837-0-73579";"Nelvon Galen in Belkarth"
"207398837-0-73580";"Keen-Eyes in Belkarth"
"207398837-0-73581";"Donnaelain in Belkarth"
"207398837-0-76863";"Ginette Malarelie in Balmora"
"207398837-0-76864";"Narril in Balmora"
"207398837-0-76865";"Mahrahdr in Balmora"
"207398837-0-77270";"Lorthodaer in Vivec City"
"207398837-0-77271";"Rinami in Vivec City"
"207398837-0-77272";"Atazha in Vivec City"
"207398837-0-77273";"Jena Calvus in Vivec City"
"207398837-0-77274";"Mauhoth in Vivec City"
"207398837-0-77275";"Sebastian Brutya in Vivec City"
"207398837-0-78100";"Nardhil Barys in Slag Town Outlaws Refuge"
"207398837-0-78126";"Ravam Sedas in Clockwork City"
"207398837-0-78127";"Commerce Delegate in Clockwork City"
"207398837-0-78128";"Shogarz in Clockwork City"
"207398837-0-78129";"Valowende in Clockwork City"
"207398837-0-78130";"Noveni Adrano in Clockwork City"
"207398837-0-78131";"Orstag in Clockwork City"
"207398837-0-82044";"Talwullaure in Alinor"
"207398837-0-82045";"Yggurz Strongbow in Alinor"
"207398837-0-82046";"Irna Dren in Alinor"
"207398837-0-82047";"Rubyn Denile in Alinor"
"207398837-0-82051";"Rialilrin in Alinor"
"207398837-0-82052";"Huzzin in Alinor"
"207398837-0-82075";"Quelilmor in Shimmerene"
"207398837-0-82076";"Varandia in Shimmerene"
"207398837-0-82077";"Shargalash in Shimmerene"
"207398837-0-82081";"Ambalor in Lillandril"
"207398837-0-82082";"Rinedel in Lillandril"
"207398837-0-82083";"Nowajan in Lillandril"
"207398837-0-82386";"Utzaei in Alinor"
"207398837-0-84884";"Aki-Osheeja in Lilmoth"
"207398837-0-84885";"Xokomar in Lilmoth"
"207398837-0-84886";"Thaloril in Lilmoth"
"207398837-0-84887";"Ordasha in Lilmoth"
"207398837-0-84888";"Faelemar in Lilmoth"
"207398837-0-84889";"Mahadal at-Bergama in Lilmoth"
"207398837-0-86851";"Gir-Ta in Lilmoth Outlaws Refuge"
"207398837-0-87735";"Nirshala in Rimmen"
"207398837-0-87767";"Adiblargo in Rimmen"
"207398837-0-87768";"Maelanrith in Rimmen"
"207398837-0-87769";"Fortis Asina in Rimmen"
"207398837-0-87774";"Artura Pamarc in Rimmen"
"207398837-0-87775";"Razzamin in Rimmen"
"207398837-0-87789";"Begok in Rimmen Outlaws Refuge"
"207398837-0-91059";"Maguzak in Senchal"
"207398837-0-91061";"Golgakul in Senchal"
"207398837-0-91062";"Glaetaldo in Senchal"
"207398837-0-91065";"Jaflinna in Senchal"
"207398837-0-91066";"Saden Sarvani in Senchal"
"207398837-0-91070";"Wusava in Senchal"
"207398837-0-91095";"Laytiva Sendris in Senchal Outlaws Refuge"
"207398837-0-96336";"Huleida in Solitude"
"207398837-0-96338";"Maevolk in Solitude"
"207398837-0-96340";"Wita in Solitude"
"207398837-0-96341";"Bredromathor in Solitude"
"207398837-0-96343";"Zuugozag in Solitude"
"207398837-0-96344";"Trallinarian in Solitude"
"207398837-0-96363";"M'deshargo in Solitude Outlaws Refuge"
"207398837-0-98243";"Huleida in Solitude"
"207398837-0-98244";"Wita in Solitude"
"207398837-0-98245";"Zuugozag in Solitude"
"207398837-0-98246";"Maguzak in Senchal"
"207398837-0-98247";"Trallinarian in Solitude"
"207398837-0-98248";"Saden Sarvani in Senchal"
"207398837-0-98719";"Victoire Madach in Markarth"
"207398837-0-98721";"Jotep-Mota in Markarth"
"207398837-0-98722";"Marilia Verethi in Markarth"
"207398837-0-98723";"Keltorgan in Markarth"
"207398837-0-98724";"Bodfira in Markarth"
"207398837-0-98725";"Brighortan in Markarth"
"207398837-0-98734";"Morborgol in Markarth Outlaws Refuge"
"207398837-0-101722";"Shuruthikh in Leyawiin"
"207398837-0-101844";"Amirudda in Leyawiin"
"207398837-0-101845";"Lhotahir in Leyawiin"
"207398837-0-101847";"Sihrimaya in Leyawiin"
"207398837-0-101848";"Dandras Omayn in Leyawiin"
"207398837-0-101849";"Praxedes Vestalis in Leyawiin"
"207398837-0-102608";"Dion Hassildor in Leyawiin Outlaws Refuge"
"207398837-0-104835";"Vesakta in Fargrave"
"207398837-0-104837";"Bodsa Manas in Fargrave"
"207398837-0-104838";"Livia Tappo^F in Fargrave"
"207398837-0-104839";"Ven in Fargrave"
"207398837-0-105023";"Furnvekh in Fargrave"
"207398837-0-105024";"Zenelaz in Fargrave"
"207398837-0-105743";"Tuxutl in Fargrave Outlaws Refuge"
"207398837-0-107521";"Shakhrath in Gonfalon Bay"
"207398837-0-108101";"Innryk in Gonfalon Bay"
"207398837-0-108123";"Zoe Frernile in Gonfalon Bay"
"207398837-0-108145";"Kemshelar in Gonfalon Bay"
"207398837-0-108151";"Marcelle Fanis in Gonfalon Bay"
"207398837-0-108155";"Pugereau Laffoon in Gonfalon Bay"
"207398837-0-108237";"Janne Jonnicent in Gonfalon Bay Outlaws Refuge"
"207398837-0-111067";"Stephenn Surilie in Vastyr"
"207398837-0-111068";"Arzalaya in Vastyr"
"207398837-0-111069";"Gei in Vastyr"
"207398837-0-111070";"Sharflekh in Vastyr"
"207398837-0-111071";"Tildinfanya in Vastyr"
"207398837-0-111072";"Var the Vague in Vastyr"
"207398837-0-111090";"Jahim in Vastyr Outlaws Refuge"
"207398837-0-112137";"Wyn Serpe in Necrom"
"207398837-0-112138";"Runethyne Brenur in Necrom"
"207398837-0-112139";"Grudogg in Necrom"
"207398837-0-112140";"Tuls Madryon in Necrom"
"207398837-0-112141";"Falani in Necrom"
"207398837-0-112142";"Alvura Thenim in Necrom"
"207398837-0-115556";"Thredis in Necrom Outlaws Refuge"
"207398837-0-119523";"Synnolian Entius in Skingrad"
"207398837-0-119524";"Bezaiq in Skingrad"
"207398837-0-119525";"Irg in Skingrad"
"207398837-0-119526";"Ushataga in Skingrad"
"207398837-0-119527";"Vaelelanda in Skingrad"
"207398837-0-119528";"Jabariq in Skingrad"
"207398837-0-119546";"Amwuana in Skingrad Outlaws Refuge"
