"Location";"Source"
"162946485-0-1";"Alliance 1 only"
"162946485-0-2";"Alliance 2 only"
"162946485-0-3";"Alliance 3 only"
"162946485-0-6";"Blue flag east under"
"162946485-0-7";"red flag south under"
"162946485-0-8";"yellow flag west under"
"162946485-0-11";"Alcaire Castle"
"162946485-0-12";"Koeglin Village"
"162946485-0-15";"Firebrand Keep Layer 2"
"162946485-0-16";"Koeglin Lighthouse"
"162946485-0-17";"Red Rook Camp"
"162946485-0-18";"Deleyn's Mill"
"162946485-0-19";"Baelborne Rock"
"162946485-0-20";"Vale of the Guardians"
"162946485-0-22";"Aldcroft"
"162946485-0-24";"Cath Bedraud"
"162946485-0-26";"Crosswych Mine"
"162946485-0-27";"Headquarters Area"
"162946485-0-28";"Imperial Palisade"
"162946485-0-30";"Q1671 Escort"
"162946485-0-33";"Davon's Watch"
"162946485-0-36";"Hrogar's Hold"
"162946485-0-37";"Senie"
"162946485-0-40";"Fort Arand"
"162946485-0-41";"Sneak behind monsters for Crit"
"162946485-0-42";"Hold Shift or MB4 to Block!"
"162946485-0-43";"Vanne Farm"
"162946485-0-45";"Q3587 Optional Escort"
"162946485-0-48";"Windridge Cave"
"162946485-0-49";"Flaming Fissure"
"162946485-0-61";"Spidermist Lake"
"162946485-0-64";"Selene's Ritual Overlook"
"162946485-0-66";"Elden Root"
"162946485-0-70";"Tap Ctrl to Sprint!"
"162946485-0-71";"Q3735 Boss Hate01"
"162946485-0-72";"Vivec's Antlers"
"162946485-0-76";"Fort Virak"
"162946485-0-79";"Press 1 for Light Attack!"
"162946485-0-82";"Equip weapons from inventory!"
"162946485-0-83";"Ebonheart"
"162946485-0-84";"Q3634 Interior Layer1"
"162946485-0-93";"Iliath Temple"
"162946485-0-98";"Use 2 against VulnerableTarget"
"162946485-0-106";"Tap Shift to interrupt"
"162946485-0-113";"Oldgate"
"162946485-0-114";"Hinault Farm"
"162946485-0-115";"Shornhelm"
"162946485-0-116";"Crestshade"
"162946485-0-117";"Camp Tamrith"
