"Location";"Source"
"151931684-1-1";"Increases healing done by <<1>>."
"151931684-2-1";"Increases chance to apply status effects by <<1>>."
"151931684-3-1";"Increases Weapon and Spell Critical by <<1>>."
"151931684-4-1";"Increases weapon enchantment effect by <<1>> and reduces enchantment cooldown by |cFFFFFF50|r%."
"151931684-5-1";"Increases Physical and Spell Resistance by <<1>>."
"151931684-6-1";"Increases experience gained from kills by <<1>>."
"151931684-7-1";"Increases Physical and Spell Penetration by <<1>>."
"151931684-8-1";"When you gain Ultimate you have a <<1>> chance to gain 1 additional Ultimate."
"151931684-9-1";"Increases inspiration gained from deconstruction of this item by <<1>>, and gain additional refined material upon deconstruction of this item."
"151931684-10-1";"Increases this item's sell price by <<1>>."
"151931684-11-1";"Reduces the cost of Block by <<1>>."
"151931684-12-1";"Increases Critical Resistance by <<1>> and this item takes |cffffff50|r% less durability damage."
"151931684-13-1";"Increases this item's Armor value by <<1>>."
"151931684-14-1";"Reduces the cost of Roll Dodge and Sprint by <<1>>."
"151931684-15-1";"Increase experience gained from kills by <<1>>."
"151931684-16-1";"Increase armor enchantment effect by <<1>>."
"151931684-17-1";"Increases Health, Magicka, and Stamina Recovery by <<1>>."
"151931684-18-1";"Increases Mundus Stone effects by <<1>>."
"151931684-19-1";"Increases this item's sell price by <<1>>."
"151931684-20-1";"Increases inspiration gained from deconstruction of this item by <<1>>, and gain additional refined material upon deconstruction of this item."
"151931684-21-1";"Increases Maximum Health by <<1>>."
"151931684-22-1";"Increases Maximum Magicka by <<1>>."
"151931684-23-1";"Increases Maximum Stamina by <<1>>."
"151931684-24-1";"Increases this item's sell price by <<1>>."
"151931684-25-1";"Increases Physical and Spell Resistance by  <<1>>."
"151931684-26-1";"Increases Damage of this weapon by  <<1>>."
"151931684-27-1";"Increases inspiration gained from deconstruction of this item by <<1>>, and gain additional refined material upon deconstruction of this item."
"151931684-28-1";"Increases movement speed by <<1>>."
"151931684-29-1";"Activating a synergy restores <<1>> Health, Magicka, and Stamina."
"151931684-30-1";"Increases Maximum Magicka by <<1>>, Maximum Stamina by <<1>>, and Maximum Health by <<2>>."
"151931684-31-1";"Increases your Weapon and Spell Damage against enemies under |cFFFFFF90|r% Health by up to <<1>>."
"151931684-32-1";"Increases Spell Resistance and Physical Resistance by <<1>>."
"151931684-33-1";"Increases jewelry enchantment effectiveness by <<1>>."
"151931684-34-1";"Reduces ability cooldowns by <<1>>%."
"151931684-35-1";"Increases Ultimate generation by <<1>>."
"151931684-36-1";"Increases Critical Strike Rating by <<1>>."
"151931684-37-1";"Increases Penetration by <<1>>."
"151931684-38-1";"Increases damage done by <<1>>%."
"151931684-39-1";"Increases healing done by <<1>>."
"151931684-40-1";"Increases duration of buffs and debuffs by <<1>>%."
"151931684-41-1";"Reduces damage taken by <<1>>%."
"151931684-42-1";"Increases Max Health by <<1>>."
"151931684-43-1";"Reduces ability cooldowns by <<1>>%."
"151931684-44-1";"Increases Ultimate generation by <<1>>."
"151931684-45-1";"Increases Critical Strike Rating by <<1>>."
"151931684-46-1";"Increases Penetration by <<1>>."
"151931684-47-1";"Increases damage done by <<1>>%."
"151931684-48-1";"Increases healing done by <<1>>."
"151931684-49-1";"Increases duration of buffs and debuffs by <<1>>%."
"151931684-50-1";"Reduces damage taken by <<1>>%."
"151931684-51-1";"Increases Max Health by <<1>>."
"151931684-52-1";"Reduces ability cooldowns by <<1>>%."
"151931684-53-1";"Increases Ultimate generation by <<1>>."
"151931684-54-1";"Increases Critical Strike Rating by <<1>>."
"151931684-55-1";"Increases Penetration by <<1>>."
"151931684-56-1";"Increases damage done by <<1>>%."
"151931684-57-1";"Increases healing done by <<1>>."
"151931684-58-1";"Increases duration of buffs and debuffs by <<1>>%."
"151931684-59-1";"Reduces damage taken by <<1>>%."
"151931684-60-1";"Increases Max Health by <<1>>."
