"Location";"Source"
"76647876-0-97";"To interact with other players in the world, aim your targeting reticule at them and hold down <<1>>.  This will bring up a radial menu of interact options that you can navigate with the <<2>> <<3>> <<4>> and <<5>> keys. Once you have your preferred option selected, release <<1>> to commit to your selection."
"76647876-0-98";"The Chat Window is your tool to communicate with other players in The Elder Scrolls Online universe. By default this window is located on the lower left hand side of the In-Game View. Pressing the <<1>> key will place your cursor on the text line of the chat panel, allowing you to enter the text or command you wish to execute."
"76647876-0-101";"To move your character around the world use the <<1>> <<2>> <<3>> and <<4>> keys while in the In-Game View mode. \n\nYou can change the direction in which your character is moving by sliding the mouse to the left or to the right. \n\nPress and hold the <<5>> key to make your character sprint. Sprinting will consume your character's Stamina. When your Stamina is fully drained you will automatically stop sprinting."
"76647876-0-103";"You can change your character's perspective by simply scrolling your mouse wheel forward and backward. To access the first person perspective scroll your mouse wheel all the way forward or press <<1>>. Scrolling backward or pressing <<1>> again will allow you to access an adjustable third person perspective."
"76647876-0-105";"The Character Menu gives you the ability to customize and view your character's Health, Magicka, and Stamina attributes. \n\nWhen you have an Attribute Point available to spend, navigate to the Character Menu from the Player Menu <<1>> to spend your Attribute Point.\n\nWhen you decide which attribute you wish to improve, highlight the desired choice and press <<2>>."
"76647876-0-106";"The Skills Menu gives you the ability to customize and view your character's progression in the various skill lines available to you. \n\nThese skill lines are listed under various categories displayed in the Skills Menu.  Select one of these skill lines using <<1>> and <<2>>. Then press <<3>> to reveal the abilities contained within it."
"76647876-0-108";"Throughout your adventures in Tamriel your character will have access to a wide variety of weapons and armor. Your character can gain equipment by looting dead monsters, finding treasure chests, crafting, and completing quests. Gain rare equipment called set pieces by defeating world bosses, completing quest lines, and adventuring in delves, public dungeons, and group dungeons."
"76647876-0-112";"Consumable items can be used during combat via the Quickslot <<1>>.\n\nTo load consumable items into the Quickslot Menu press the <<2>> key to open your inventory. All slottable items will appear in the Slottable Items submenu. Select the item you wish to Quickslot and press <<3>>, use the <<4>> <<5>> <<6>> and <<7>> keys to select a Quickslot to fill, and press <<8>> to commit the item to that slot."
"76647876-0-113";"While in the In-Game View mode you can select any item previously loaded into a Quickslot by pressing and holding the <<1>> button and using the<<2>> <<3>> <<4>> and <<5>> keys to select the item you wish to use. When you release <<1>> your selection will be available for quick use in combat by pressing the <<1>> key.\n\nThe quickselect wheel can also be toggled on and off with the Togglable Quickwheels option selected. This setting can be found in Settings->Accessibility->Togglable Quickwheels. With this option on, you select items on the quickwheel by pressing a hotkey instead of hovering the desired item. Once selected, the item can be used in combat with <<1>>."
"76647876-0-119";"Some weapons and armor can be enchanted, or have their enchantments replaced with new enchantments. To do this you will need to create Glyphs at an Enchanting Table, found in most cities and other special locations throughout the world."
