"Location";"Source"
"267697733-0-4";"Jes' Weapons Crate"
"267697733-0-109";"Silver Necklace"
"267697733-0-117";"QAT Quest Item"
"267697733-0-208";"Wolfsbane"
"267697733-0-219";"Silver Wolfsbane"
"267697733-0-259";"Red Resonance Crystal"
"267697733-0-281";"Vestrial's Research Page 3"
"267697733-0-282";"Vestrial's Research Page 5"
"267697733-0-283";"Vestrial's Research Page 7"
"267697733-0-284";"Vestrial's Research Page 8"
"267697733-0-285";"Magical tome"
"267697733-0-289";"Nightmare Dust"
"267697733-0-342";"Invitation to at-Tura Estate"
"267697733-0-350";"Masonry Tools"
"267697733-0-372";"Glow Dust"
"267697733-0-428";"Orcish Fetish"
"267697733-0-507";"Sir Edmund's Letter"
"267697733-0-542";"Stack of Talismans"
"267697733-0-606";"Melves' Bribe"
"267697733-0-607";"Incriminating Documents"
"267697733-0-636";"Oathman's Insignia"
"267697733-0-792";"Journal Page"
"267697733-0-796";"Potion of Forgetfulness"
"267697733-0-797";"Embers"
"267697733-0-845";"QA Trinket"
"267697733-0-857";"Ogre Tooth"
"267697733-0-858";"Ripplestrike's Heart"
"267697733-0-860";"Crocodile Charm"
"267697733-0-887";"Fallen Blossom"
"267697733-0-888";"Mudcrab Claw"
"267697733-0-932";"Sword of King Aphren"
"267697733-0-956";"Scroll of Sight"
"267697733-0-963";"Nchylbar's Box"
"267697733-0-964";"Scroll of the Morning"
"267697733-0-965";"Star Globe"
"267697733-0-967";"Wayward Branch"
"267697733-0-969";"Azurite"
"267697733-0-975";"Key of the Knight"
"267697733-0-976";"Key of the Thief"
"267697733-0-977";"Key of the General"
"267697733-0-985";"Balmora Blue Wine"
"267697733-0-1003";"Gabrielle's Binding Stone"
"267697733-0-1004";"Dreugh Egg"
"267697733-0-1005";"Seagrave's Ring"
"267697733-0-1009";"Scroll of Summoning"
"267697733-0-1025";"Dreamstride Potion"
"267697733-0-1049";"Rusty Key"
"267697733-0-1057";"Stonechewer Totem"
"267697733-0-1083";"Dream Shard"
"267697733-0-1085";"Healing Poultice"
"267697733-0-1093";"Padier's Debt"
"267697733-0-1095";"Louis' Debt"
"267697733-0-1096";"Covert Correspondence"
"267697733-0-1109";"Glowing Key"
"267697733-0-1111";"Hubert's Notes"
"267697733-0-1121";"Lighthouse Focusing Crystal"
"267697733-0-1150";"Burning Log"
"267697733-0-1167";"Scamp Heart"
"267697733-0-1168";"Ritual Candle"
"267697733-0-1169";"Dremora Heart"
"267697733-0-1176";"Sir Aldred's Tabard"
"267697733-0-1202";"Collar of Broken Dreams"
"267697733-0-1203";"Hauberk of Five Lashes"
"267697733-0-1204";"Breeches of Lead"
"267697733-0-1220";"Valdam's Spellbook"
"267697733-0-1223";"Reminder: Don't Drink the Water"
"267697733-0-1224";"Dream Shard"
"267697733-0-1266";"Narsis Ruins Key"
"267697733-0-1283";"Heartwood Shard"
"267697733-0-1448";"QA Item"
"267697733-0-1474";"Scamp Head"
"267697733-0-1475";"Vial of Poison"
"267697733-0-1481";"Fire Salts"
"267697733-0-1499";"Scroll of Dream Trapping"
"267697733-0-1531";"Altmer Relic"
"267697733-0-1549";"Not Visible to the PC"
"267697733-0-1570";"Unishi's Potion"
"267697733-0-1585";"Sample of Poison"
"267697733-0-1648";"Raifa's sword"
"267697733-0-1650";"Tafa's shield"
"267697733-0-1651";"Nabeenam's hammer"
"267697733-0-1702";"Murder Weapon"
"267697733-0-1704";"Fakimal's Letter"
"267697733-0-1728";"Flame Stalk"
"267697733-0-1729";"Suspicious Bottle"
"267697733-0-1737";"Poison Antidote"
"267697733-0-1785";"Nedic Ghostly Essence"
"267697733-0-1786";"Goblin Ghostly Essence"
"267697733-0-1787";"Orc Ghostly Essence"
"267697733-0-1788";"Breton Ghostly Essence"
"267697733-0-1796";"Ansei Ward"
"267697733-0-1797";"Broken Ward Pieces"
"267697733-0-1817";"Key to the Attic Room"
"267697733-0-1826";"Large Ruby"
"267697733-0-1833";"Puffball Caps"
