"Location";"Source"
"9424005-0-1";"Head"
"9424005-0-2";"Chest"
"9424005-0-3";"Shoulders"
"9424005-0-4";"Hands"
"9424005-0-5";"Waist"
"9424005-0-6";"Legs"
"9424005-0-7";"Feet"
"9424005-0-8";"One-Handed Weapons"
"9424005-0-9";"Two-Handed Weapons"
"9424005-0-10";"Staves"
"9424005-0-11";"Bows"
"9424005-0-12";"Slots"
"9424005-0-13";"Costumes"
"9424005-0-14";"Hats"
"9424005-0-15";"Skins"
"9424005-0-16";"Mounts"
"9424005-0-17";"Personalities"
"9424005-0-18";"Hairstyles"
"9424005-0-19";"Facial Hair"
"9424005-0-20";"Facial Accessories"
"9424005-0-21";"Jewelry"
"9424005-0-22";"Head Markings"
"9424005-0-23";"Body Markings"
