"Location";"Source"
"214390738-0-1";"iron^a"
"214390738-0-2";"maple^a"
"214390738-0-3";"iron^a"
"214390738-0-4";"halfhide^a"
"214390738-0-5";"homespun^a"
"214390738-0-7";"iron^a"
"214390738-0-8";"iron^a"
"214390738-0-9";"steel^a"
"214390738-0-10";"steel^a"
"214390738-0-11";"orichalc-steel^a"
"214390738-0-12";"orichalc-steel^a"
"214390738-0-13";"dwarven-steel^a"
"214390738-0-14";"dwarven-steel^a"
"214390738-0-15";"ebon^a"
"214390738-0-16";"maple^a"
"214390738-0-17";"maple^a"
"214390738-0-18";"oak^a"
"214390738-0-19";"oak^a"
"214390738-0-20";"beech^a"
"214390738-0-21";"beech^a"
"214390738-0-22";"hickory^a"
"214390738-0-23";"hickory^a"
"214390738-0-24";"yew^a"
"214390738-0-25";"iron^a"
"214390738-0-26";"iron^a"
"214390738-0-27";"steel^a"
"214390738-0-28";"steel^a"
"214390738-0-29";"orichalc-steel^a"
"214390738-0-30";"orichalc-steel^a"
"214390738-0-31";"dwarven-steel^a"
"214390738-0-32";"dwarven-steel^a"
"214390738-0-33";"ebon^a"
"214390738-0-34";"halfhide^a"
"214390738-0-35";"halfhide^a"
"214390738-0-36";"hide^a"
"214390738-0-37";"hide^a"
"214390738-0-38";"leather^a"
"214390738-0-39";"leather^a"
"214390738-0-40";"full-leather^a"
"214390738-0-41";"full-leather^a"
"214390738-0-42";"fell^a"
"214390738-0-43";"homespun^a"
"214390738-0-44";"homespun^a"
"214390738-0-45";"linen^a"
"214390738-0-46";"linen^a"
"214390738-0-47";"cotton^a"
"214390738-0-48";"cotton^a"
"214390738-0-49";"spidersilk^a"
"214390738-0-50";"spidersilk^a"
"214390738-0-51";"ebonthread^a"
"214390738-0-116";"calcinium^a"
"214390738-0-117";"galatite^a"
"214390738-0-118";"quicksilver^a"
"214390738-0-119";"voidsteel^a"
"214390738-0-121";"calcinium^a"
"214390738-0-122";"galatite^a"
"214390738-0-123";"quicksilver^a"
"214390738-0-124";"voidsteel^a"
"214390738-0-125";"kresh^a"
"214390738-0-126";"ironthread^a"
"214390738-0-127";"silverweave^a"
"214390738-0-128";"shadowspun^a"
"214390738-0-129";"brigandine^a"
"214390738-0-130";"ironhide^a"
"214390738-0-131";"superb^a"
"214390738-0-132";"shadowhide^a"
"214390738-0-133";"birch^a"
"214390738-0-134";"ash^a"
"214390738-0-135";"mahogany^a"
"214390738-0-136";"nightwood^a"
"214390738-0-146";"iron^a"
"214390738-0-147";"maple^a"
"214390738-0-148";"rawhide^a"
"214390738-0-149";"homespun^a"
"214390738-0-152";"steel^a"
"214390738-0-153";"oak^a"
"214390738-0-154";"hide^a"
"214390738-0-155";"linen^a"
"214390738-0-156";"orichalc^a"
"214390738-0-157";"beech^a"
"214390738-0-158";"leather^a"
"214390738-0-159";"cotton^a"
"214390738-0-160";"dwarven^a"
"214390738-0-161";"hickory^a"
"214390738-0-162";"full-leather^a"
"214390738-0-163";"spidersilk^a"
"214390738-0-164";"ebon^a"
"214390738-0-165";"yew^a"
"214390738-0-166";"fell^a"
"214390738-0-167";"ebonthread^a"
"214390738-0-168";"calcinium^a"
"214390738-0-169";"kresh^a"
"214390738-0-170";"brigandine^a"
"214390738-0-171";"birch^a"
"214390738-0-172";"galatite^a"
"214390738-0-173";"ironthread^a"
"214390738-0-174";"ironhide^a"
"214390738-0-175";"ash^a"
"214390738-0-176";"quicksilver^a"
"214390738-0-177";"silverweave^a"
"214390738-0-178";"superb^a"
