"Location";"Source"
"143811061-0-1";"2 Handed"
"143811061-0-2";"1H + Shield"
"143811061-0-3";"Dual Wield"
"143811061-0-4";"Bow"
"143811061-0-5";"Destruction Staff"
"143811061-0-8";"Heal Staff"
"143811061-0-15";"Unarmed"
"143811061-0-16";"Wabbajack"
"143811061-0-18";"1H"
"143811061-0-22";"Two Handed"
"143811061-0-23";"One Hand and Shield"
"143811061-0-24";"Dual Wield"
"143811061-0-25";"Bow"
"143811061-0-26";"Destruction Staff"
"143811061-0-27";"Restoration Staff"
"143811061-0-28";"Unarmed"
"143811061-0-29";"One Hand"
